Wavelength (nm),Normalized
294.83,4.4214466224229234e-05
294.89,4.421445545874352e-05
294.94,4.421444821219649e-05
295.0,4.421444448458812e-05
295.06,4.421444427591842e-05
295.11,4.4214447586187386e-05
295.17,4.421443097303338e-05
295.23,4.421435164307835e-05
295.28,4.4214032085735186e-05
295.34,4.4213240151923255e-05
295.4,4.421005254622369e-05
295.45,4.419944402036466e-05
295.51,4.4167449763501066e-05
295.57,4.411015639012583e-05
295.62,4.3927987077667014e-05
295.68,4.347120620030837e-05
295.74,4.2908820882648304e-05
295.8,4.140003194640497e-05
295.85,3.858539872168352e-05
295.91,3.815820218727285e-05
295.97,3.728301562825219e-05
296.02,4.184891336099208e-05
296.08,8.209466955807368e-05
296.14,0.0001594967621885
296.19,0.0003212492289104
296.25,0.0006796562193308
296.31,0.0012550550905745
296.36,0.0021622055060619
296.42,0.0035586915949232
296.48,0.005418360544751
296.53,0.0077579031793847
296.59,0.0105031395197872
296.65,0.0134386858674937
296.7,0.0162661715259769
296.76,0.0186677655607968
296.82,0.0202872359661056
296.87,0.0209124268933365
296.93,0.0204753986446938
296.99,0.0190160007956551
297.05,0.0167255130227182
297.1,0.0139513591699016
297.16,0.0110128129616953
297.22,0.0082187977467619
297.27,0.0057997345242981
297.33,0.003850172326135
297.39,0.0023695881480219
297.44,0.0013909878836829
297.5,0.0007619059945332
297.56,0.0003659882970156
297.61,0.0001820903515363
297.67,9.217988057332336e-05
297.73,4.483013958448275e-05
297.78,3.7944068487823466e-05
297.84,3.800668334752171e-05
297.9,3.807596654855584e-05
297.95,4.108268570942533e-05
298.01,4.273550074356323e-05
298.07,4.335839299088789e-05
298.12,4.388088712066267e-05
298.18,4.4092110729083506e-05
298.24,4.415903197013004e-05
298.3,4.4196842479959786e-05
298.35,4.4209177893986274e-05
298.41,4.421247015667114e-05
298.47,4.42139253849484e-05
298.52,4.4214324218482045e-05
298.58,4.4214424387578296e-05
298.64,4.4214445564000355e-05
298.69,4.421445266581064e-05
298.75,4.4214454148101626e-05
298.81,4.421445441185144e-05
298.86,4.4214454485654766e-05
298.92,4.421445449847496e-05
298.98,4.42144545003968e-05
299.03,4.421445450084951e-05
299.09,4.4214454500915474e-05
299.15,4.421445450092401e-05
299.2,4.421445450092571e-05
299.26,4.421445450092567e-05
299.32,4.421445450092564e-05
299.37,4.42144545009256e-05
299.43,4.421445450092557e-05
299.49,4.4214454500925536e-05
299.55,4.421445450092551e-05
299.6,4.421445450092547e-05
299.66,4.4214454500925435e-05
299.72,4.42144545009254e-05
299.77,4.421445450092537e-05
299.83,4.421445450092533e-05
299.89,4.4214454500925306e-05
299.94,4.421445450092527e-05
300.0,4.421445450092524e-05
300.06,4.42144545009252e-05
300.11,4.421445450092517e-05
300.17,4.421445450092514e-05
300.23,4.42144545009251e-05
300.28,4.421445450092507e-05
300.34,4.4214454500925035e-05
300.4,4.4214454500925e-05
300.45,4.421445450092497e-05
300.51,4.421445450092493e-05
300.57,4.42144545009249e-05
300.62,4.4214454500924866e-05
300.68,4.421445450092483e-05
300.74,4.42144545009248e-05
300.8,4.421445450092477e-05
300.85,4.421445450092474e-05
300.91,4.42144545009247e-05
