Wavelength (nm),Normalized
414.51,4.910669775480891e-07
414.54,4.910669739108747e-07
414.56,4.910669715088352e-07
414.59,4.910669703419708e-07
414.62,4.910669704102812e-07
414.64,4.910669717137667e-07
414.67,4.910669643889366e-07
414.7,4.910669323969986e-07
414.72,4.910668801148075e-07
414.75,4.910665879103817e-07
414.77,4.910654415803354e-07
414.8,4.910638359807981e-07
414.83,4.910553949451375e-07
414.85,4.910256639123156e-07
414.88,4.909912281366403e-07
414.91,4.90817272492963e-07
414.93,4.902644579674649e-07
414.96,4.897781929423634e-07
414.99,4.872765118341982e-07
415.01,4.801057682702958e-07
415.04,4.763734187524255e-07
415.07,4.527159468232422e-07
415.09,3.912219334000494e-07
415.12,3.95209613470047e-07
415.15,2.751835265684546e-07
415.17,4.550591842168605e-07
415.2,3.400332539070182e-07
415.23,0.0
415.25,2.5055423814747864e-06
415.28,4.973027607750973e-06
415.3,9.444936382262412e-06
415.33,3.151953208927193e-05
415.36,6.092795117591014e-05
415.38,0.00011055421214
415.41,0.0002353860665265
415.44,0.0004069029858685
415.46,0.0006684975422953
415.49,0.0011500361689382
415.52,0.0017863590805776
415.54,0.0026591300718431
415.57,0.0039545022544427
415.6,0.0055455064539726
415.62,0.007487026923033
415.65,0.0098886706018461
415.68,0.0125610392726762
415.7,0.0153935629001708
415.73,0.0182945732924899
415.76,0.0210938061414702
415.78,0.0234296706327053
415.81,0.0252866355458144
415.84,0.026547220060867
415.86,0.0268091987222928
415.89,0.0263449491010296
415.91,0.025183720752888
415.94,0.0231675199150689
415.97,0.0207203014835997
415.99,0.0179772051207136
416.02,0.0150386151340927
416.05,0.0121737994934042
416.07,0.0095809787034971
416.1,0.0072700170406824
416.13,0.0052748108374062
416.15,0.0037675510117419
416.18,0.0025865101811193
416.21,0.0016540839444271
416.23,0.0010708390308954
416.26,0.0006626095689422
416.29,0.0003599919859296
416.31,0.0002108581108206
416.34,0.000117126675457
416.37,4.9026185218321814e-05
416.39,2.6399151849806508e-05
416.42,1.342756765160051e-05
416.44,3.086598446252474e-06
416.47,2.0019214312831015e-06
416.5,1.3013309507885747e-06
416.52,1.913224020727049e-07
416.55,3.283237712560603e-07
416.58,1.8854921265892226e-07
416.6,3.668208674709065e-07
416.63,4.391620959559746e-07
416.66,4.450367256365251e-07
416.68,4.740861598217655e-07
416.71,4.848475724699027e-07
416.74,4.867705016695004e-07
416.76,4.896391736551373e-07
416.79,4.906020457310563e-07
416.82,4.907925394705937e-07
416.84,4.909848652262055e-07
416.87,4.910430935796906e-07
416.9,4.910544964881296e-07
416.92,4.910636168182295e-07
416.95,4.910661005223305e-07
416.98,4.910665636785478e-07
417.0,4.910668744010037e-07
417.03,4.910669505950887e-07
417.05,4.910669638521759e-07
417.08,4.910669715618979e-07
417.11,4.910669732577297e-07
417.13,4.910669735269573e-07
417.16,4.91066973661449e-07
417.19,4.910669736819606e-07
417.21,4.910669736917515e-07
417.24,4.910669736935685e-07
417.27,4.910669736938284e-07
417.29,4.910669736939414e-07
417.32,4.910669736939607e-07
417.35,4.910669736939602e-07
417.37,4.910669736939596e-07
417.4,4.91066973693959e-07
417.43,4.910669736939585e-07
417.45,4.91066973693958e-07
417.48,4.910669736939574e-07
417.51,4.910669736939568e-07
417.53,4.910669736939563e-07
417.56,4.910669736939558e-07
417.58,4.910669736939552e-07
417.61,4.910669736939547e-07
417.64,4.910669736939541e-07
417.66,4.910669736939535e-07
417.69,4.91066973693953e-07
417.72,4.910669736939524e-07
417.74,4.910669736939519e-07
417.77,4.910669736939513e-07
417.8,4.910669736939508e-07
417.82,4.910669736939502e-07
417.85,4.910669736939496e-07
417.88,4.910669736939491e-07
417.9,4.910669736939485e-07
417.93,4.910669736939479e-07
417.96,4.910669736939473e-07
417.98,4.910669736939469e-07
418.01,4.910669736939462e-07
418.04,4.910669736939456e-07
418.06,4.910669736939451e-07
418.09,4.910669736939445e-07
418.12,4.91066973693944e-07
418.14,4.910669736939435e-07
418.17,4.91066973693943e-07
418.19,4.910669736939423e-07
418.22,4.910669736939418e-07
418.25,4.910669736939413e-07
418.27,4.910669736939406e-07
418.3,4.910669736939401e-07
418.33,4.910669736939396e-07
418.35,4.91066973693939e-07
418.38,4.910669736939348e-07
418.41,4.910669736939093e-07
418.43,4.910669736937751e-07
418.46,4.91066973693479e-07
418.49,4.91066973691457e-07
418.51,4.910669736810091e-07
418.54,4.910669736600827e-07
418.57,4.910669735273178e-07
418.59,4.910669729090213e-07
418.62,4.910669718107833e-07
418.65,4.910669653752098e-07
418.67,4.910669545205033e-07
418.7,4.910668924743784e-07
418.73,4.91066648122378e-07
418.75,4.910663037312917e-07
418.78,4.910644904192327e-07
418.8,4.910580666486121e-07
418.83,4.910505567808511e-07
418.86,4.910124966202125e-07
418.88,4.90890654535334e-07
418.91,4.907812058782649e-07
418.94,4.902192492319999e-07
418.96,4.885912858556583e-07
418.99,4.876880298023091e-07
419.02,4.821397007679633e-07
419.04,4.675073830742005e-07
419.07,4.673315783881944e-07
419.1,4.3628433665245364e-07
419.12,3.605277386708733e-07
419.15,4.5947584196528747e-07
419.18,4.539013969929322e-07
419.2,1.0899991332140485e-06
419.23,1.6227202440674784e-06
419.26,2.495309401293767e-06
419.28,7.712768874529311e-06
419.31,1.4448309585850622e-05
419.33,2.589703727272151e-05
