Wavelength (nm),Normalized
435.2,1.5562379240187137e-07
435.23,1.5562370687106892e-07
435.25,1.556236509784693e-07
435.27,1.5562362472407225e-07
435.3,1.5562362810787805e-07
435.33,1.556236611298866e-07
435.35,1.5562353564919982e-07
435.38,1.556233583334447e-07
435.4,1.556230523537772e-07
435.43,1.5562101129827958e-07
435.45,1.5561383525245604e-07
435.48,1.5560606770821166e-07
435.5,1.5559626414920357e-07
435.52,1.555217476790679e-07
435.55,1.5528503404346988e-07
435.58,1.5510992451170677e-07
435.6,1.5414418921871574e-07
435.62,1.5367747798749977e-07
435.65,1.54003344736606e-07
435.68,1.4851738417745885e-07
435.7,1.32641858191799e-07
435.73,1.3601553063975285e-07
435.75,1.0645070881642782e-07
435.77,1.6214963095011356e-07
435.8,1.3922692606428808e-07
435.83,4.552334075138902e-07
435.85,6.504496344609721e-07
435.88,2.0316475571378938e-06
435.9,5.050429692470723e-06
435.93,8.073332983670502e-06
435.95,1.2561940780529895e-05
435.98,2.7316398563214652e-05
436.0,5.486271295856942e-05
436.02,8.828394218918387e-05
436.05,0.0001373623594347
436.08,0.0002374395675332
436.1,0.0003704864855831
436.12,0.0005936580513559
436.15,0.0009108071083532
436.18,0.0012862321168681
436.2,0.0017635553165491
436.23,0.0024318880346274
436.25,0.0032206811400556
436.27,0.0041913794536209
436.3,0.005273905015417
436.33,0.0065087706512544
436.35,0.0077798883156943
436.38,0.0090924301051251
436.4,0.0103162649168746
436.43,0.0113575583999851
436.45,0.0122064425312862
436.48,0.0127929019632286
436.5,0.0130197349575826
436.52,0.0130038819296901
436.55,0.0126502326045098
436.58,0.0119783257205347
436.6,0.0110567086549248
436.62,0.0099234302530851
436.65,0.0086587790245164
436.68,0.0073966507056306
436.7,0.0061667887968181
436.73,0.0049630714932489
436.75,0.0038985609272049
436.77,0.0030178586692611
436.8,0.002281243229616
436.83,0.001643527428002
436.85,0.0011702708746064
436.88,0.0007718253017746
436.9,0.0004911242658422
436.93,0.0003267855332572
436.95,0.0002127277855743
436.98,0.0001244056318581
437.0,7.80231238165592e-05
437.02,4.229916993834465e-05
437.05,2.6087220128787542e-05
437.08,1.3009368684316074e-05
437.1,7.794749560793539e-06
437.12,2.985585437171682e-06
437.15,8.298422981541624e-07
437.18,6.60463349746326e-07
437.2,4.81585654274827e-07
437.23,1.560198285752887e-07
437.25,6.045846043969043e-08
437.27,1.2412134186610476e-07
437.3,1.4830518195464853e-07
437.33,1.4420675753025592e-07
437.35,1.527249223673258e-07
437.38,1.5171697996129829e-07
437.4,1.52547789430954e-07
437.43,1.545766945668512e-07
437.45,1.5528826165154873e-07
437.48,1.55407161957577e-07
437.5,1.555577274325741e-07
