Wavelength (nm),Normalized
454.07,4.919240748182992e-08
454.09,4.9192405285137033e-08
454.12,4.919240384290869e-08
454.14,4.9192403155144944e-08
454.16,4.919240322184577e-08
454.19,4.9192404043011166e-08
454.21,4.9192402698415455e-08
454.24,4.9192393793013266e-08
454.26,4.9192379926488323e-08
454.29,4.919230220579489e-08
454.31,4.9192192291110106e-08
454.33,4.919200133133128e-08
454.36,4.9190720939211186e-08
454.38,4.918911971410162e-08
454.41,4.9180395393271274e-08
454.43,4.917091273012253e-08
454.45,4.9119221110405774e-08
454.48,4.907157381387744e-08
454.5,4.9025723895248226e-08
454.53,4.8544392214621e-08
454.55,4.8232465571881915e-08
454.58,4.6003037891567584e-08
454.6,4.5159271246812786e-08
454.62,3.6739233646999334e-08
454.65,3.6899061186489975e-08
454.67,5.0451602450318164e-08
454.7,1.9370410344026715e-08
454.72,6.742446859834946e-08
454.75,0.0
454.77,2.787483391848784e-07
454.79,3.1624199814695225e-07
454.82,1.6625071394906262e-06
454.84,4.8630547173684585e-06
454.87,7.581442020894443e-06
454.89,1.6831119697369646e-05
454.92,2.7023361243525628e-05
454.94,5.607258651447639e-05
454.96,9.202644834607052e-05
454.99,0.0001755793409316
455.01,0.0003179672750502
455.04,0.0004880932409717
455.06,0.0007930251396798
455.09,0.0011770113845119
455.11,0.001817379434046
455.13,0.0026267033404652
455.16,0.003861929197865
455.18,0.0055414942861401
455.21,0.0074872100314313
455.23,0.0100712561011321
455.26,0.0130312796145939
455.28,0.0166560656376535
455.3,0.0208580037107374
455.33,0.0252521385095837
455.35,0.0300883402776255
455.38,0.0349242339219085
455.4,0.0398682246307377
455.42,0.0444722460840852
455.45,0.0483453073570029
455.47,0.0515192479045634
455.5,0.053699857870283
455.52,0.0548458970036257
455.55,0.0548596719481352
455.57,0.0533638217239574
455.59,0.0509885500424051
455.62,0.0474021344897754
455.64,0.0430833208458417
455.67,0.0384094096740351
455.69,0.0333738941255675
455.72,0.0284289307123234
455.74,0.023708051813053
455.76,0.0193020270621036
455.79,0.0154393574139914
455.81,0.0119420500440686
455.84,0.0091453103728408
455.86,0.0066689348277379
455.89,0.0047545715811474
455.91,0.0034055822028613
455.93,0.0023159797421715
455.96,0.0016082134870582
455.98,0.0010393875451602
456.01,0.0006951518026987
456.03,0.0004091670984979
456.06,0.0002313205540943
456.08,0.0001444545638134
456.1,7.633614613557819e-05
456.13,4.7743200193237e-05
456.15,2.3810593477375097e-05
456.18,1.4915096207467291e-05
456.2,6.050714603881087e-06
456.23,1.9231085480278656e-06
456.25,1.2425369937812547e-06
456.27,2.468175707301539e-07
456.3,2.574272202823381e-07
456.32,4.6722908033339936e-08
456.35,9.008078320557417e-08
