Wavelength (nm),Normalized
431.01,7.501516263388124e-07
431.04,7.501514515042685e-07
431.07,7.50151334862093e-07
431.09,7.501512764122864e-07
431.12,7.501512761548484e-07
431.15,7.501513340897792e-07
431.18,7.501512233320775e-07
431.2,7.501506357231362e-07
431.23,7.501485100754269e-07
431.26,7.501415452728706e-07
431.29,7.501199414735774e-07
431.31,7.500977551701348e-07
431.34,7.499861426675888e-07
431.37,7.496442791509423e-07
431.4,7.487248239326648e-07
431.43,7.481466531431878e-07
431.45,7.448571745258945e-07
431.48,7.359697816493382e-07
431.51,7.158661104605104e-07
431.54,7.166550959589603e-07
431.56,6.783017066633532e-07
431.59,5.84130450428369e-07
431.62,4.230268665071915e-07
431.65,8.076202476166315e-07
431.67,1.061857660080824e-06
431.7,1.4814521021534915e-06
431.73,2.8162115180374616e-06
431.76,1.1451560657484966e-05
431.78,2.29258731046177e-05
431.81,4.228740644504129e-05
431.84,7.821463486561029e-05
431.87,0.000165861478056
431.89,0.0002866638224714
431.92,0.0004677754880192
431.95,0.0007443189221415
431.98,0.001210477716176
432.0,0.0018102688055762
432.03,0.0025969700537129
432.06,0.0036083481578026
432.09,0.0048781522277901
432.11,0.0064542030876377
432.14,0.0082043520544986
432.17,0.0100415993984863
432.2,0.0118984510974659
432.23,0.0136455944718095
432.25,0.015195073962837
432.28,0.0163279388720715
432.31,0.0169902354556237
432.34,0.0170673524111198
432.36,0.0166803445947241
432.39,0.0158580253961555
432.42,0.0145618510298082
432.45,0.0129085568620416
432.47,0.0111139578684131
432.5,0.009270312306388
432.53,0.0075033832340402
432.56,0.0058692232727154
432.58,0.0044381259272996
432.61,0.003203168260391
432.64,0.0022777429661126
432.67,0.0015694083451094
432.69,0.0010361837419186
432.72,0.0006252624491807
432.75,0.0003878394882341
432.78,0.0002349593112237
432.8,0.0001340540564369
432.83,6.108408400759271e-05
432.86,3.253700321858735e-05
432.89,1.750791353492854e-05
432.91,8.663692254683522e-06
432.94,1.8987821073162028e-06
432.97,1.0554290922753005e-06
433.0,8.454684568379791e-07
433.03,7.063025088388541e-07
433.05,4.332544780680476e-07
433.08,5.821486810991542e-07
433.11,6.721426557119772e-07
433.14,7.182863083407407e-07
433.16,7.365609073468547e-07
433.19,7.38422520567627e-07
433.22,7.455708216534069e-07
433.25,7.485255259447979e-07
433.27,7.495716319564815e-07
433.3,7.497709809218842e-07
433.33,7.500232318670764e-07
433.36,7.501117207914545e-07
433.38,7.501392931024562e-07
433.41,7.501447469711129e-07
433.44,7.501494818605274e-07
433.47,7.501509089321852e-07
433.49,7.501512984010284e-07
433.52,7.501513712115747e-07
433.55,7.501514211138121e-07
433.58,7.501514340787591e-07
433.6,7.501514371742942e-07
433.63,7.501514377050048e-07
433.66,7.501514380080197e-07
433.69,7.501514380765519e-07
433.72,7.501514380912207e-07
433.74,7.501514380937277e-07
433.77,7.501514380948581e-07
433.8,7.501514380947985e-07
433.83,7.501514380947364e-07
433.85,7.501514380946752e-07
433.88,7.501514380946131e-07
433.91,7.501514380945536e-07
433.94,7.501514380944913e-07
433.96,7.501514380944303e-07
433.99,7.50151438094368e-07
434.02,7.501514380943081e-07
434.05,7.501514380942458e-07
434.07,7.501514380941843e-07
434.1,7.501514380941218e-07
434.13,7.50151438094062e-07
434.16,7.501514380939999e-07
434.18,7.501514380939386e-07
434.21,7.501514380938765e-07
434.24,7.50151438093817e-07
434.27,7.50151438093755e-07
434.29,7.501514380936937e-07
434.32,7.501514380936316e-07
434.35,7.50151438093572e-07
434.38,7.501514380935119e-07
434.4,7.501514380934482e-07
434.43,7.501514380933842e-07
434.46,7.501514380933233e-07
434.49,7.501514380932622e-07
434.52,7.501514380931981e-07
434.54,7.501514380931347e-07
434.57,7.501514380930744e-07
434.6,7.501514380930148e-07
434.63,7.501514380929527e-07
434.65,7.501514380928913e-07
434.68,7.501514380928292e-07
434.71,7.501514380927693e-07
434.74,7.501514380927073e-07
434.76,7.501514380926461e-07
434.79,7.501514380925838e-07
434.82,7.501514380925242e-07
434.85,7.501514380924621e-07
434.87,7.501514380922561e-07
434.9,7.501514380915104e-07
434.93,7.501514380882711e-07
434.96,7.501514380820374e-07
434.98,7.501514380435546e-07
435.01,7.501514378663755e-07
435.04,7.501514371092641e-07
435.07,7.501514358441905e-07
435.09,7.501514286391089e-07
435.12,7.501513995313036e-07
435.15,7.50151291697871e-07
435.18,7.501509114967414e-07
435.2,7.501504172479548e-07
435.23,7.501478682329278e-07
435.26,7.501391515937982e-07
435.29,7.50112314798067e-07
435.32,7.500860836855126e-07
435.34,7.499532887558287e-07
435.37,7.495532025266435e-07
435.4,7.48497991713426e-07
435.43,7.479030598401686e-07
435.45,7.443341631821405e-07
435.48,7.347821025320169e-07
435.51,7.136564224331792e-07
435.54,7.169962718476712e-07
435.56,6.811537469850518e-07
435.59,5.924095288043058e-07
435.62,4.4761746170557155e-07
435.65,8.936908296396821e-07
435.67,1.2445552038525225e-06
435.7,1.8375484909250912e-06
435.73,3.4917782962841065e-06
435.76,1.2585212225990078e-05
435.78,2.4768478462975583e-05
435.81,4.508768593001679e-05
435.84,8.212532211058985e-05
435.87,0.0001697007740832
435.89,0.0002898382822733
435.92,0.0004686214615667
435.95,0.0007388166729125
435.98,0.0011418415688846
436.0,0.0017749472166412
436.03,0.0025694332012629
436.06,0.0035586920753926
436.09,0.0047725354548671
436.12,0.0062531528754338
436.14,0.0078776475060728
436.17,0.0095637227815014
436.2,0.0112499525343108
436.23,0.0128179357289923
436.25,0.0141885404876917
436.28,0.0152769175903644
436.31,0.0158854241424689
436.34,0.0159581082687774
436.36,0.0156056227887815
436.39,0.014854526897812
436.42,0.0136711713924908
436.45,0.0121738280174756
436.47,0.0105538262439194
436.5,0.0089048725547323
436.53,0.0073578781346129
436.56,0.0060083041280247
436.58,0.0048994293881147
436.61,0.0040551433380894
436.64,0.0036097279598423
436.67,0.0035430676118331
436.69,0.0037586223265859
436.72,0.0042260087540446
436.75,0.0049762734895414
436.78,0.0059086872061981
436.8,0.0069504230540389
436.83,0.0080030856579167
436.86,0.0089663234888952
436.89,0.0097585615757614
436.92,0.0102794483895789
436.94,0.0105493724259573
436.97,0.0104670880341641
437.0,0.0100668992673434
437.03,0.0093517361584242
437.05,0.0084507888125911
437.08,0.0074195473520313
437.11,0.0063104333400913
437.14,0.0051874721940216
437.16,0.0041341807664579
437.19,0.0031713299684823
437.22,0.0023799440258633
437.25,0.0017294603444102
437.27,0.001210199069205
437.3,0.0007929355145025
437.33,0.0005226251587395
437.36,0.000337990602941
437.38,0.0002106817216203
437.41,0.0001200246977665
437.44,8.633120807427557e-05
437.47,9.907916008005928e-05
437.49,0.0001370610761908
437.52,0.0002112809511341
437.55,0.0003508674260226
437.58,0.0005842487885395
437.6,0.0010113535598586
437.63,0.0015748233649913
437.66,0.0023330773515926
437.69,0.0033493126778915
437.72,0.0047499431379285
437.74,0.0064028674834873
437.77,0.0083016106776154
437.8,0.0104352900407025
437.83,0.012758277236177
437.85,0.0151016655205258
437.88,0.0173658379719223
437.91,0.0192951471184453
437.94,0.020734809143209
437.96,0.0216838921446228
437.99,0.0220760715950706
438.02,0.0217127726984203
438.05,0.020629361539809
438.07,0.0190755205814275
438.1,0.0171515006060942
438.13,0.0149285165258983
438.16,0.0125579435807366
438.18,0.0102509792157629
438.21,0.0080773053229722
438.24,0.0062101955703131
438.27,0.0046301073097907
438.29,0.0033167380997711
438.32,0.0022392037980372
438.35,0.0015078990621532
438.38,0.0009901282418072
438.41,0.0006436757751714
438.43,0.0004036674589518
438.46,0.000328166639097
438.49,0.0003636796456561
438.52,0.0005870031454253
438.54,0.0009273054813389
438.57,0.0014518493792361
438.6,0.0022654590759124
438.63,0.0036132889153345
438.65,0.0053343948752828
438.68,0.007568193211684
438.71,0.0104105216076173
438.74,0.0140820056657694
438.76,0.0182564714339356
438.79,0.0229191612849458
438.82,0.027825006089258
438.85,0.0327885994079003
438.87,0.0374942826647235
438.9,0.0416921299277519
438.93,0.0447950347994246
438.96,0.0465221590805908
438.98,0.0470432683754186
439.01,0.046321464418228
439.04,0.0440797793398973
439.07,0.040653991555871
439.09,0.0362097864525425
439.12,0.0313281417053005
439.15,0.0262712532837296
439.18,0.0213478534683737
439.21,0.0167148501401042
439.23,0.0125718213584771
439.26,0.0092746343148458
439.29,0.0066662363057945
439.32,0.0046451533227233
439.34,0.0031071458760959
439.37,0.0019116450904418
439.4,0.0012046187417346
439.43,0.000740712001233
439.45,0.0004305332583015
439.48,0.0002045975460233
439.51,0.0001111112017765
439.54,6.0349628017096e-05
439.56,2.993516839934163e-05
439.59,6.984224665262549e-06
439.62,3.0109446967838695e-06
439.65,2.6849260615107303e-06
439.67,3.008929774425889e-06
439.7,3.89883282708444e-06
439.73,8.606593972589299e-06
439.76,2.4383373069106217e-05
439.78,4.580431909270632e-05
439.81,8.002398896775588e-05
439.84,0.0001382112442458
439.87,0.0002365947229555
439.89,0.0004247373761164
439.92,0.0006754261660923
439.95,0.0010193112438461
439.98,0.0014917928642399
440.01,0.0021684548367432
440.03,0.002982307583429
440.06,0.0039431040001504
440.09,0.005056626914075
440.12,0.006322379311021
440.14,0.0076418352656636
440.17,0.0089700343042378
440.2,0.0101779970488555
440.23,0.0111794554383116
440.25,0.0119477033558533
440.28,0.0124322669964137
440.31,0.0125006820059763
440.34,0.0121463369205542
440.36,0.0114917767993055
440.39,0.0105818168736754
440.42,0.009429201527578
440.45,0.0081215630925648
440.47,0.0067956854124572
440.5,0.0055025388867282
440.53,0.0043392201051551
440.56,0.0033119513998444
440.58,0.0024431710301297
440.61,0.001712475808259
440.64,0.0011911482301757
440.67,0.0008056341848656
440.69,0.0005198930079772
440.72,0.0003024298679086
440.75,0.0001830073843015
440.78,0.0001080707762889
440.81,5.937210102839555e-05
440.83,2.434415848226538e-05
440.86,1.203384845218194e-05
440.89,6.2644276546954634e-06
440.92,3.518427659390498e-06
440.94,1.938505797872817e-06
440.97,5.770690450437175e-07
441.0,6.154162917645589e-07
441.03,6.857903977425656e-07
441.05,7.090731966703473e-07
441.08,6.72153784799801e-07
441.11,7.146093907925849e-07
441.14,7.358156281589348e-07
441.16,7.441186777219483e-07
441.19,7.450027382637601e-07
441.22,7.481517658567123e-07
441.25,7.494451301241864e-07
441.27,7.499003510864914e-07
441.3,7.499864917713574e-07
441.33,7.500958488295582e-07
441.36,7.501341954742791e-07
441.38,7.501461459115311e-07
441.41,7.501485063358422e-07
441.44,7.501505760687612e-07
441.47,7.501512031928296e-07
441.49,7.501513754942755e-07
441.52,7.50151407843393e-07
441.55,7.501514303245916e-07
441.58,7.501514362309104e-07
441.61,7.501514376508674e-07
441.63,7.501514378632721e-07
442.49,7.501514378554452e-07
442.52,7.501514376239406e-07
442.54,7.501514360853282e-07
442.57,7.50151429592077e-07
442.6,7.50151404485127e-07
442.63,7.501513675397848e-07
442.65,7.501511688087987e-07
442.68,7.501504338578008e-07
442.71,7.501479628332053e-07
442.74,7.501450440677369e-07
442.76,7.501301819359773e-07
442.79,7.500816596465497e-07
442.82,7.499402158180032e-07
442.85,7.498206192866622e-07
442.87,7.491995714679982e-07
442.9,7.473971255443676e-07
442.93,7.428874866543473e-07
442.96,7.324337511580801e-07
442.98,7.302518569697545e-07
443.01,7.046933318998427e-07
443.04,6.397157793761686e-07
443.07,5.125940583164964e-07
443.1,6.508882442805907e-07
443.12,6.182659292913468e-07
443.15,4.81376243277772e-07
443.18,5.150431611814739e-07
443.21,4.981747475244702e-06
443.23,1.031870792173969e-05
443.26,1.9485365473215585e-05
443.29,3.831546639993072e-05
443.32,9.783699402841513e-05
443.34,0.0001796990580954
443.37,0.0003085893596242
443.4,0.0005216071192181
443.43,0.0009386830762535
443.45,0.0014951652565815
443.48,0.0022742638668412
443.51,0.0033646668060346
443.54,0.0049822196093749
443.56,0.0069586573700751
443.59,0.0093801163398361
443.62,0.0122487873269467
443.65,0.0156371059506247
443.67,0.0192709344681104
443.7,0.0230585561323226
443.73,0.0266887955693582
443.76,0.0299937551759854
443.78,0.032662649969508
443.81,0.0346621161938822
443.84,0.0355775206076337
443.87,0.0354373995486572
443.9,0.0341424341357246
443.92,0.0320675258600644
443.95,0.0291694168573039
443.98,0.0257554709398856
444.01,0.0219937158414438
444.03,0.0182490372099858
444.06,0.0146467758094414
444.09,0.0114659522110843
444.12,0.0086928850921041
444.14,0.0063707727087534
444.17,0.004430174120169
444.2,0.0030643720128648
444.23,0.0020595969772524
444.25,0.0013251576938202
444.28,0.0007675495496921
444.31,0.0004657088912982
444.34,0.0002771694999251
444.36,0.0001550525446038
444.39,6.634097026421094e-05
444.42,3.472273810079241e-05
444.45,1.8533728137937515e-05
444.47,9.028436438350208e-06
444.5,1.463257647103952e-06
444.53,8.546094207711931e-07
444.56,7.833372429094619e-07
444.58,6.968634035607468e-07
444.61,4.092250387463599e-07
444.64,5.852907065279578e-07
444.67,6.805904028187235e-07
444.7,7.183380784125246e-07
444.72,7.195348556934699e-07
444.75,7.372239019330938e-07
444.78,7.451242633272433e-07
444.81,7.483709965697888e-07
444.83,7.495162359177354e-07
444.86,7.497315122011138e-07
444.89,7.500091996129878e-07
444.92,7.501071092259432e-07
444.94,7.501377621883574e-07
444.97,7.501438019609827e-07
445.0,7.501491782844966e-07
445.03,7.501508177987765e-07
445.05,7.501512715120912e-07
445.08,7.501513568951776e-07
445.11,7.501514170633003e-07
445.14,7.501514330114961e-07
445.16,7.501514368966851e-07
445.19,7.501514375577223e-07
445.58,7.501514378902116e-07
445.61,7.501514378703803e-07
445.63,7.50151437245098e-07
445.66,7.501514345883156e-07
445.69,7.501514244895902e-07
445.72,7.501514100396339e-07
445.74,7.501513329502277e-07
445.77,7.501510523101571e-07
445.8,7.501501245273943e-07
445.83,7.501490641343835e-07
445.85,7.501436787492823e-07
445.88,7.501263301939678e-07
445.91,7.500765313089981e-07
445.94,7.500365088861283e-07
445.96,7.498254221376186e-07
445.99,7.492198792185328e-07
446.02,7.477288454301577e-07
446.05,7.472467318806138e-07
446.07,7.431202323634311e-07
446.1,7.324590267639138e-07
446.13,7.105759025093525e-07
446.16,6.713616932145813e-07
446.18,7.206205630659966e-07
446.21,7.221119548640976e-07
446.24,7.027105613221288e-07
446.27,7.600227106336425e-07
446.3,2.21649032125655e-06
446.32,3.983844164423901e-06
446.35,6.997359020607981e-06
446.38,1.307048192892668e-05
446.41,3.151037257202339e-05
446.43,5.683713140759875e-05
446.46,9.647647647477016e-05
446.49,0.000161291978364
446.52,0.0002863361373274
446.54,0.0004527480291633
446.57,0.0006842318385496
446.6,0.0010062610534866
446.63,0.0014805359967566
446.65,0.0020581013171771
446.68,0.0027629140218088
446.71,0.0035950219650576
446.74,0.0045741264700541
446.76,0.0056207959392435
446.79,0.0067094257467619
446.82,0.0077500114097567
446.85,0.0086805109501733
446.87,0.0094622042766994
446.9,0.0100481395006398
446.93,0.010321383961154
446.96,0.0102915463192365
446.98,0.009939329495555
447.01,0.0093659959318617
447.04,0.0085647830449927
447.07,0.0076326086003661
447.1,0.006648117536266
447.12,0.0056984384536546
447.15,0.0048792423847408
447.18,0.0042470143196263
447.21,0.0038742914631976
447.23,0.003728276756324
447.26,0.0038171642165945
447.29,0.0042014644810716
447.32,0.0048472806788377
447.34,0.0056508652972321
