Wavelength (nm),Normalized
285.4,3.195261748402118e-05
285.43,3.1952605785879394e-05
285.45,3.195259788484756e-05
285.48,3.19525937809257e-05
285.5,3.19525934741138e-05
285.52,3.1952596964411865e-05
285.55,3.1952558585030655e-05
285.57,3.1952474010253745e-05
285.6,3.19519264865579e-05
285.62,3.1950866754112504e-05
285.65,3.1948495165179306e-05
285.68,3.1933704546839124e-05
285.7,3.191112939271296e-05
285.73,3.1796917447349914e-05
285.75,3.142911488024304e-05
285.77,3.1081873515978804e-05
285.8,2.956569434299864e-05
285.82,2.8822301013732084e-05
285.85,2.4586204953460065e-05
285.88,2.6618359597518312e-05
285.9,3.932740621764369e-05
285.93,4.759334718082132e-05
285.95,0.0001056213305619
285.98,0.0001881923872231
286.0,0.000418100891901
286.02,0.0007622534590033
286.05,0.0013351161402469
286.07,0.0023256204612791
286.1,0.0036588584385181
286.12,0.0054056167014262
286.15,0.007412889010923
286.18,0.0095082560067056
286.2,0.0114606123676851
286.23,0.0130585039852034
286.25,0.0141034529562586
286.27,0.0142357696798282
286.3,0.0136375267763292
286.32,0.0123630672726337
286.35,0.0105630977379067
286.38,0.0085225508906286
286.4,0.0064416900830597
286.43,0.0045717361970168
286.45,0.0030196875154304
286.48,0.0019162990338183
286.5,0.0011549101361188
286.52,0.0006164416787866
286.55,0.0003444870124607
286.57,0.000159751813835
286.6,9.41320359653684e-05
286.62,4.038990077320117e-05
286.65,2.177427962457852e-05
286.68,2.6157973250564796e-05
286.7,2.547379501185296e-05
286.73,2.916640495387497e-05
286.75,2.9977382885274265e-05
286.77,3.12911344221598e-05
286.8,3.175498511695839e-05
286.82,3.1851934804178087e-05
286.85,3.192824486123693e-05
286.88,3.19410716103731e-05
286.9,3.1947642647200264e-05
286.93,3.1951526229459855e-05
286.95,3.195218756447741e-05
286.98,3.195252638686501e-05
287.0,3.1952591429639456e-05
287.02,3.195260046331757e-05
287.05,3.195260406025295e-05
287.07,3.195260450045276e-05
287.1,3.195260465368022e-05
287.12,3.195260466853869e-05
295.57,3.195260466958324e-05
295.6,3.195260464198789e-05
295.62,3.195260455918929e-05
295.65,3.195260428800174e-05
295.68,3.1952602030811415e-05
295.7,3.1952596537743886e-05
295.73,3.195255800297502e-05
295.75,3.195236259691816e-05
295.77,3.195199100556508e-05
295.8,3.194983156211118e-05
295.82,3.1946239715287905e-05
295.85,3.192709652380725e-05
295.88,3.190067655563162e-05
295.9,3.1859520783525084e-05
295.93,3.1610626800654325e-05
295.95,3.1379606071915974e-05
295.98,3.0255190597270355e-05
296.0,2.975428425519254e-05
296.02,2.6597232839478495e-05
296.05,2.0327009013664903e-05
296.07,2.7781838411751223e-05
296.1,3.4910835811772484e-05
296.12,9.281588748943348e-05
296.15,0.0002209498341038
296.18,0.0003911592139662
296.2,0.0007455776540879
296.23,0.0012451692076743
296.25,0.0020057320087144
296.27,0.003183810218938
296.3,0.0046904141920967
296.32,0.0065431047279887
296.35,0.0085756776330244
296.38,0.0106056226122186
296.4,0.0123684621282568
296.43,0.0136908554501246
296.45,0.0143521197345969
