Wavelength (nm),Normalized
385.12,3.453460181809736e-05
385.15,3.453458728965005e-05
385.18,3.4534577597235176e-05
385.2,3.453457274085275e-05
385.23,3.4534572720502755e-05
385.25,3.45345775361852e-05
385.27,3.453456574718183e-05
385.3,3.453449797354177e-05
385.33,3.453439075237678e-05
385.35,3.4533801868266905e-05
385.38,3.4532971724574965e-05
385.4,3.453156824576134e-05
385.43,3.452241883044215e-05
385.45,3.4491396307340595e-05
385.48,3.446048370839728e-05
385.5,3.442745425411023e-05
385.52,3.4157522098264136e-05
385.55,3.335793467337965e-05
385.58,3.295677225978959e-05
385.6,3.044637134256323e-05
385.62,3.0505876383070623e-05
385.65,3.472517711845341e-05
385.68,2.8509445624447225e-05
385.7,1.0477629245802475e-05
385.73,5.419226961529972e-05
385.75,8.339538886252105e-05
385.77,0.0003263531290391
385.8,0.0006052066024274
385.83,0.0015256542293283
385.85,0.0027229151641606
385.88,0.0055472260623476
385.9,0.0103501807877621
385.93,0.0163022377754244
385.95,0.0248856617150533
385.98,0.039915879690166
386.0,0.0615619823621524
386.02,0.0878997491789186
386.05,0.1211136543958136
386.08,0.1652039361686217
386.1,0.2159313082597519
386.12,0.274962203691872
386.15,0.3372001526746164
386.18,0.3974305145882952
386.2,0.4540908583183271
386.23,0.5027869368102712
386.25,0.5389024894736381
386.27,0.5546010463456537
386.3,0.5546538722522102
386.33,0.5370498198028689
386.35,0.5035538531906638
386.38,0.456918708696982
386.4,0.4004059880482863
386.43,0.3408299437333534
386.45,0.2818452022234276
386.48,0.2244685536733397
386.5,0.1737579121980943
386.52,0.12940827693337
386.55,0.094600042438044
386.58,0.0653329705563321
386.6,0.0445063207142728
386.62,0.027508084445033
386.65,0.0161578624018776
386.68,0.0101268105666502
386.7,0.0060893328965853
386.73,0.0028837296703707
386.75,0.0011796113985537
386.77,0.0006856331044244
386.8,0.0004051434752181
386.83,0.0001512260932785
386.85,0.0001021304960735
386.88,2.928670285695915e-05
386.9,8.943078631601907e-06
