Wavelength (nm),Normalized
367.3,3.718772448054921e-05
367.33,3.7187705003506544e-05
367.35,3.7187692005521335e-05
367.38,3.718768548659356e-05
367.4,3.718768544672325e-05
367.43,3.718769188591037e-05
367.45,3.718764905385821e-05
367.48,3.718757618657591e-05
367.5,3.718742575507144e-05
367.52,3.7186463840550326e-05
367.55,3.718274841744269e-05
367.58,3.717780228781723e-05
367.6,3.71528034743292e-05
367.62,3.712357526274309e-05
367.65,3.708449438226503e-05
367.68,3.680519537250584e-05
367.7,3.5953051726593494e-05
367.73,3.539259573385477e-05
367.75,3.2388568145458857e-05
367.77,3.1694818824956175e-05
367.8,2.2961236929158055e-05
367.83,2.807701736416306e-05
367.85,1.3791252543244852e-05
367.88,6.406271110204029e-05
367.9,0.0002115556111119
367.93,0.0003269658022974
367.95,0.0005110693090913
367.98,0.0014900147878782
368.0,0.0034975699118222
368.02,0.0060095499113582
368.05,0.0099376902799899
368.08,0.0181751720545146
368.1,0.0294893193421183
368.12,0.0480269216736159
368.15,0.0737983607038536
368.18,0.1044619133224703
368.2,0.1423331083268708
368.23,0.1901428575505939
368.25,0.2434219516236048
368.27,0.3002726984729604
368.3,0.3573661311096249
368.33,0.4108614699899078
368.35,0.4555754608030198
368.38,0.4877430118515622
368.4,0.5023141123231624
368.43,0.4992351013090721
368.45,0.4803754556302145
368.48,0.4457839028537276
368.5,0.3977150233706598
368.52,0.3445886032380245
368.55,0.2883013824803832
368.58,0.231574834669825
368.6,0.1797522880699308
368.62,0.1323956706006496
368.65,0.0934898802930957
368.68,0.0652725510771352
368.7,0.0437643197847416
368.73,0.0264100590644518
368.75,0.0150295951158708
368.77,0.0091821598310321
368.8,0.0054840014623121
368.83,0.0027035245619845
368.85,0.0015073741784082
368.88,0.00050760348082
368.9,7.19520010876718e-05
368.93,5.5560726918806687e-05
368.95,4.844779170947141e-05
368.98,1.441814134945987e-05
369.0,2.878602250698795e-05
369.02,2.6232543107997264e-05
369.05,3.347384870418115e-05
369.08,3.4137876761950336e-05
369.1,3.627697637261872e-05
369.12,3.645214939513032e-05
369.15,3.672029955791084e-05
369.18,3.7047395589737894e-05
369.2,3.715007183288473e-05
369.23,3.7165715833702936e-05
369.25,3.717625344256064e-05
369.27,3.718467328616596e-05
369.3,3.718696185777066e-05
369.33,3.718737704788058e-05
369.35,3.718763358751838e-05
369.38,3.7187672990654126e-05
369.4,3.718769094591178e-05
369.43,3.718770087846809e-05
369.45,3.718770296291761e-05
369.48,3.718770328076785e-05
369.5,3.7187703428033326e-05
369.52,3.71877034476087e-05
370.23,3.718770345316894e-05
370.25,3.718770342998806e-05
370.27,3.718770337563734e-05
370.3,3.718770300345823e-05
370.33,3.718770223497481e-05
370.35,3.7187697350128165e-05
370.38,3.718768815726543e-05
370.4,3.718766743858989e-05
370.43,3.7187531099373134e-05
370.45,3.7186970008824274e-05
370.48,3.718614371665878e-05
370.5,3.71846652376792e-05
370.52,3.717533507689316e-05
370.55,3.71426746020164e-05
370.58,3.710700288487667e-05
370.6,3.693230179594989e-05
370.62,3.677742927683295e-05
370.65,3.665324610651826e-05
370.68,3.528384045605743e-05
370.7,3.1426132630981515e-05
370.73,3.051323313716237e-05
370.75,2.1352191860991085e-05
370.77,2.8236943576355896e-05
370.8,1.5858885252200977e-05
370.83,7.540525885834848e-05
370.85,0.0001124000318776
370.88,0.0004127084219506
370.9,0.0010797935416913
370.93,0.0018259602918972
370.95,0.0030350906867258
370.98,0.0063340469470456
371.0,0.0121392039270292
371.02,0.0195586498143876
371.05,0.0302888236075479
371.08,0.0484465369975531
371.1,0.072007713488879
371.12,0.1053139057461429
371.15,0.1469405291568747
371.18,0.1933320898022512
371.2,0.2453421899332075
371.23,0.3025169361565968
371.25,0.3593700198519786
371.27,0.4101804091980631
371.3,0.4534459016743707
371.33,0.4851889256948283
371.35,0.5019627199207111
371.38,0.5041130510140371
371.4,0.4905394375961934
371.43,0.4640261884324164
371.45,0.4306858868781559
371.48,0.396467104317767
371.5,0.3655965028137404
371.52,0.3414473628797562
371.55,0.328609855960151
371.58,0.3287085227923664
371.6,0.3416338778125844
371.62,0.3633107212007502
371.65,0.3909750834070403
371.68,0.4208663733264026
