Wavelength (nm),Normalized
402.88,1.758439670718117e-05
402.9,1.758439343035756e-05
402.93,1.758439129558056e-05
402.95,1.758439030285016e-05
402.98,1.7584390452166363e-05
403.0,1.7584391743529176e-05
403.02,1.7584386218111335e-05
403.05,1.7584364109427277e-05
403.08,1.7584332895337425e-05
403.1,1.7584169469653364e-05
403.12,1.7583957954605066e-05
403.15,1.7583630759573872e-05
403.18,1.7581399935802696e-05
403.2,1.7574053506504198e-05
403.23,1.756744482202241e-05
403.25,1.7533825409748e-05
403.27,1.751124531855411e-05
403.3,1.737006039411775e-05
403.33,1.7322613087022953e-05
403.35,1.6838343307198476e-05
403.38,1.693751669944179e-05
403.4,1.7968705467947136e-05
403.43,1.6885640013498133e-05
403.45,1.345008584345533e-05
403.48,2.29147779651239e-05
403.5,5.090870218425642e-05
403.52,7.415021823546937e-05
403.55,0.0001088815478345
403.58,0.000282693378217
403.6,0.0005129241977296
403.62,0.0010938602743449
403.65,0.002104503612558
403.68,0.0033458177333144
403.7,0.0051473255082042
403.73,0.00846683325997
403.75,0.0128382121405203
403.77,0.0195223541816649
403.8,0.0278497255961636
403.83,0.0392068519747118
403.85,0.0524944485532477
403.88,0.0687810248741584
403.9,0.0869384648367857
403.93,0.1054202850742099
403.95,0.1241626214168548
403.98,0.1424353630560346
404.0,0.1581215688432615
404.02,0.1713888064062378
404.05,0.1801459051277246
404.08,0.1837940182195713
404.1,0.1820303197491335
404.12,0.1749984560186084
404.15,0.1628521330094408
404.18,0.1473078574614806
404.2,0.1296815241821882
404.23,0.1104002996984375
404.25,0.0913089516604851
404.27,0.073426155734963
404.3,0.057421472337674
404.33,0.0429648256401297
404.35,0.031421018243309
404.38,0.0215089307632914
404.4,0.0141581914736283
404.43,0.0095211838038162
404.45,0.006239633292962
404.48,0.0037129190988924
404.5,0.0023197734995699
404.52,0.0012679202710969
404.55,0.0007738161947003
404.58,0.0003871564752689
404.6,0.000230563617372
404.62,9.096827403959303e-05
404.65,3.0301233258337003e-05
404.68,2.4572319895064032e-05
404.7,1.353100827030636e-05
404.73,9.817137422201535e-06
404.75,0.0
404.77,4.3894596746332745e-05
404.8,6.788804127528217e-05
404.83,0.0002688432266225
404.85,0.0004818943330272
404.88,0.0012449868060941
404.9,0.0027348701865841
404.93,0.0044733391294054
404.95,0.0071207410706457
404.98,0.0132491322854092
405.0,0.0234130298100045
405.02,0.0361304156608597
405.05,0.0538598133127728
405.08,0.0828423853518562
405.1,0.1196787412969307
405.12,0.1714415605477039
405.15,0.2361300024891219
405.18,0.307987829893838
405.2,0.3895502594559963
405.23,0.4826654613644224
405.25,0.5785479626846929
405.27,0.6708915280202451
405.3,0.756499990163076
405.33,0.8293514475918268
405.35,0.8823887394413941
405.38,0.912207995714604
405.4,0.9128710469261876
405.43,0.8870453353778116
405.45,0.8393640830452886
405.48,0.7700889895255156
405.5,0.6839711821525458
405.52,0.5927164291590857
405.55,0.4995766697983788
405.58,0.4062809854093341
405.6,0.3216148489263752
405.62,0.2431921931938493
405.65,0.1777751050146948
405.68,0.1290795263474498
405.7,0.0906434594973191
405.73,0.0586588868533574
405.75,0.0365251988967438
405.77,0.0238303733559659
405.8,0.0151984318379651
405.83,0.008532529474661
405.85,0.0050888875000268
405.88,0.00229313472924
405.9,0.0008508249625146
405.93,0.0004852139975916
405.95,0.0002753338204349
405.98,7.62569961491883e-05
406.0,5.395160426146398e-05
406.02,1.2146033053706895e-05
406.05,1.884697239221149e-05
406.08,1.2159576932449034e-05
406.1,1.6508993136631176e-05
406.12,1.500393817691575e-05
406.15,1.5339687759179296e-05
406.18,1.684639207135812e-05
406.2,1.7370471667534905e-05
406.23,1.7409355355494422e-05
