Wavelength (nm),Normalized
365.43,2.0813485479001825e-06
365.45,2.0813467142670654e-06
365.48,2.0813454832911534e-06
365.5,2.0813448549724465e-06
365.52,2.081344829310944e-06
365.55,2.0813454063066463e-06
365.58,2.0813437541429525e-06
365.6,2.0813341506882413e-06
365.62,2.0813181429859377e-06
365.65,2.0812861550288836e-06
365.68,2.081082477097912e-06
365.7,2.080323601974007e-06
365.73,2.0793811267269e-06
365.75,2.0746989494825772e-06
365.77,2.069720980634454e-06
365.8,2.0440852016851125e-06
365.83,2.0233448054845058e-06
365.85,1.9086162479807257e-06
365.88,1.8551570997068113e-06
365.9,1.906450513578359e-06
365.93,1.379759169632053e-06
365.95,0.0
365.98,1.0460588161166813e-06
366.0,5.7827349120433665e-06
366.02,8.106174930268513e-06
366.05,1.1334993568803e-05
366.08,4.9168817826629905e-05
366.1,9.95313470215315e-05
366.12,0.0002437291398137
366.15,0.0005058382257957
366.18,0.0008350512721414
366.2,0.001327907381606
366.23,0.002240704381475
366.25,0.0034608308098138
366.27,0.0052891064714541
366.3,0.0075635713780095
366.33,0.0105420445759441
366.35,0.0139540442643929
366.38,0.0178772996969
366.4,0.0219615114859131
366.43,0.0258585556646575
366.45,0.0294173104070099
366.48,0.0322928484995922
366.5,0.0340672944449862
366.52,0.0349682620412291
366.55,0.0345965819314863
366.58,0.0330037278636926
366.6,0.0303613970025543
366.62,0.0269198954930316
366.65,0.0229510996001785
366.68,0.0189203936038947
366.7,0.0150609139326699
366.73,0.0114282249751358
366.75,0.0083501674216715
366.77,0.0059859923396235
366.8,0.0041515938154839
366.83,0.002674224322716
366.85,0.0017036583072188
366.88,0.0009388691841321
366.9,0.0004720416391067
366.93,0.0002691095032043
366.95,0.0001495518466139
366.98,5.988878517736352e-05
367.0,3.256501698093645e-05
367.02,9.246660425291565e-06
367.05,6.3862171685977354e-06
367.08,1.6039320042620708e-06
367.1,2.2378010834202433e-06
367.12,1.1548499099319675e-06
367.15,1.1203857876775572e-06
367.18,1.7473949845214932e-06
367.2,1.979545099179337e-06
367.23,1.9926561639753545e-06
367.25,2.022485711658302e-06
367.27,2.062636069007017e-06
367.3,2.075880649433714e-06
367.33,2.0784327499976697e-06
367.35,2.080604283018e-06
367.38,2.0809478102074395e-06
367.4,2.0811517152818264e-06
367.43,2.0812979459516935e-06
367.45,2.0813352431510013e-06
367.48,2.081341784985666e-06
367.5,2.081345536842613e-06
367.52,2.0813461565223043e-06
367.55,2.081346477994047e-06
367.58,2.0813465276333445e-06
367.6,2.0813465509593427e-06
367.62,2.0813465540851785e-06
423.77,2.081346555208003e-06
423.8,2.0813465556896435e-06
423.83,2.0813465557705123e-06
423.85,2.081346555781324e-06
423.88,2.0813465557845506e-06
423.9,2.0813465557844197e-06
423.93,2.0813465557842893e-06
423.95,2.081346555784159e-06
423.98,2.081346555784028e-06
424.0,2.0813465557838975e-06
424.02,2.0813465557837667e-06
424.05,2.081346555783636e-06
424.08,2.0813465557835058e-06
424.1,2.081346555783375e-06
424.12,2.081346555783244e-06
424.15,2.0813465557831136e-06
424.18,2.081346555782983e-06
424.2,2.0813465557828523e-06
424.23,2.0813465557827214e-06
424.25,2.081346555782591e-06
424.27,2.0813465557824605e-06
424.3,2.08134655578233e-06
424.33,2.0813465557821992e-06
424.35,2.0813465557820684e-06
424.38,2.081346555781938e-06
424.4,2.0813465557818075e-06
424.43,2.0813465557816766e-06
424.45,2.0813465557815457e-06
424.48,2.0813465557814153e-06
424.5,2.081346555781285e-06
424.52,2.081346555781154e-06
424.55,2.0813465557810235e-06
424.58,2.0813465557808927e-06
424.6,2.0813465557807622e-06
424.62,2.081346555780632e-06
424.65,2.081346555780501e-06
424.68,2.08134655578037e-06
424.7,2.0813465557802396e-06
424.73,2.081346555780109e-06
424.75,2.0813465557799783e-06
424.77,2.081346555779848e-06
424.8,2.081346555779717e-06
424.83,2.0813465557795866e-06
424.85,2.081346555779456e-06
424.88,2.0813465557793252e-06
424.9,2.0813465557791944e-06
424.93,2.081346555779064e-06
424.95,2.0813465557789335e-06
424.98,2.081346555778802e-06
425.0,2.081346555778672e-06
425.02,2.0813465557785413e-06
425.05,2.081346555778411e-06
425.08,2.0813465557782804e-06
425.1,2.0813465557781496e-06
425.12,2.0813465557780187e-06
425.15,2.0813465557778883e-06
425.18,2.081346555777758e-06
425.2,2.081346555777627e-06
425.23,2.081346555777496e-06
425.25,2.0813465557773656e-06
425.27,2.081346555777235e-06
425.3,2.0813465557771047e-06
425.33,2.081346555776974e-06
425.35,2.081346555776843e-06
425.38,2.081346555776713e-06
425.4,2.081346555776582e-06
425.43,2.0813465557764513e-06
425.45,2.0813465557763204e-06
425.48,2.08134655577619e-06
425.5,2.0813465557760595e-06
425.52,2.0813465557759286e-06
425.55,2.081346555775798e-06
425.58,2.0813465557756673e-06
425.6,2.081346555775537e-06
425.62,2.0813465557754064e-06
425.65,2.0813465557752756e-06
425.68,2.0813465557751447e-06
425.7,2.0813465557750143e-06
425.73,2.081346555774884e-06
425.75,2.081346555774753e-06
425.77,2.081346555774622e-06
425.8,2.0813465557744917e-06
425.83,2.081346555774361e-06
425.85,2.0813465557742308e-06
425.88,2.0813465557741e-06
425.9,2.081346555773969e-06
425.93,2.0813465557738386e-06
425.95,2.081346555773708e-06
425.98,2.0813465557735773e-06
426.0,2.0813465557729005e-06
426.02,2.0813465557695196e-06
426.05,2.0813465557539477e-06
426.08,2.0813465557234177e-06
426.1,2.0813465555336014e-06
426.12,2.08134655517152e-06
426.15,2.081346554334338e-06
426.18,2.0813465486672787e-06
426.2,2.0813465241660956e-06
426.23,2.081346485199744e-06
426.25,2.08134626932294e-06
426.27,2.0813459454514033e-06
426.3,2.0813441707869993e-06
426.33,2.081341758878587e-06
426.35,2.081328806907392e-06
426.38,2.081313143224806e-06
426.4,2.081290590003264e-06
426.43,2.08112777676557e-06
426.45,2.0805988861034325e-06
426.48,2.080157256434617e-06
426.5,2.0798245439593243e-06
426.52,2.075914640806411e-06
426.55,2.064356766457774e-06
426.58,2.060225506778112e-06
426.6,2.026113420530724e-06
426.62,2.0333879175123194e-06
426.65,2.105380917823533e-06
426.68,2.0209563050207917e-06
426.7,1.7432841313507714e-06
426.73,2.364029157158747e-06
426.75,2.614873439974684e-06
426.77,6.019271652423563e-06
426.8,9.343101483655398e-06
426.83,2.259455377606667e-05
426.85,3.832298760379718e-05
426.88,8.152591672760666e-05
426.9,0.0001594277684037
426.93,0.0002519313611821
426.95,0.0003878810699922
426.98,0.0006696521718453
427.0,0.0011147396873867
427.02,0.0016641164501869
427.05,0.0024075251696963
427.08,0.0035720303900322
427.1,0.0050214497084745
427.12,0.0070125066727735
427.15,0.0094612321650036
427.18,0.0121480591429088
427.2,0.0151697097525824
427.23,0.0186180879990627
427.25,0.0221621422779833
