Wavelength (nm),Normalized
273.22,9.213790133977218e-06
273.25,9.213789773814563e-06
273.27,9.213789529426424e-06
273.3,9.213789400812794e-06
273.33,9.213789387973677e-06
273.35,9.213789490909073e-06
273.38,9.213788844738852e-06
273.4,9.213783382515923e-06
273.43,9.213769217114968e-06
273.45,9.21366501185222e-06
273.48,9.213432429064609e-06
273.5,9.211936568366412e-06
273.53,9.209105244597902e-06
273.55,9.193087102642182e-06
273.58,9.168089471956314e-06
273.6,9.042080186058728e-06
273.63,8.889148704954289e-06
273.65,8.182740038155373e-06
273.68,7.617662130466648e-06
273.7,5.0078001831528785e-06
273.73,4.6288148565729375e-06
273.75,0.0
273.78,9.344975254848918e-06
273.8,1.9335108089162465e-05
273.83,5.1561104327281165e-05
273.85,0.0001918782601956
273.88,0.0004194920586889
273.9,0.0008651424825748
273.93,0.001499300973637
273.96,0.0024213072102669
273.98,0.0035687094255184
274.01,0.0048913336562314
274.03,0.0062812118341577
274.06,0.0075085465775054
274.08,0.0084804409814608
274.11,0.0089989364987457
274.13,0.0089989364987457
274.16,0.0084804409814608
274.18,0.0075085465775054
274.21,0.0062659114447859
274.23,0.0048951587535743
274.26,0.0035821435975538
274.28,0.0024519495325287
274.31,0.0015400993602479
274.33,0.0009133969731437
274.36,0.0004688634069696
274.38,0.0002368536928807
274.41,8.594870734279203e-05
274.43,3.706103492379918e-05
274.46,4.243549070771451e-06
274.48,4.581528204758886e-06
274.51,1.6773393993594248e-06
274.53,5.919798262144022e-06
274.56,6.674123387461419e-06
274.59,8.315944467868296e-06
274.61,8.679250815709682e-06
274.64,9.051162306266428e-06
274.66,9.131760991125517e-06
274.69,9.193087102642182e-06
274.71,9.209105244597902e-06
274.74,9.211936568366412e-06
274.76,9.213432429064609e-06
274.79,9.21366501185222e-06
274.81,9.213769217114968e-06
274.84,9.2137833825159e-06
274.86,9.213788844738855e-06
274.89,9.213789490909096e-06
274.91,9.2137897075139e-06
274.94,9.21378972974261e-06
274.96,9.213789736256374e-06
274.99,9.213789736836015e-06
275.79,9.213789736985156e-06
275.82,9.213789736996637e-06
275.84,9.213789736999242e-06
275.87,9.213789736999418e-06
275.9,9.213789736999454e-06
275.92,9.213789736999454e-06
275.95,9.213789736999454e-06
275.97,9.213789736999454e-06
276.0,9.213789736999454e-06
276.02,9.213789736999454e-06
276.05,9.213789736999454e-06
276.07,9.213789736999454e-06
276.1,9.213789736999454e-06
276.12,9.213789736999454e-06
276.15,9.213789736999454e-06
276.17,9.213789736999454e-06
276.2,9.213789736999454e-06
276.22,9.213789736999454e-06
276.25,9.213789736999454e-06
276.27,9.213789736999454e-06
276.3,9.213789736999454e-06
276.32,9.213789736999454e-06
276.35,9.213789736999454e-06
276.37,9.213789736999454e-06
276.4,9.213789736999454e-06
276.42,9.213789736999454e-06
276.45,9.213789736999454e-06
276.47,9.213789736999454e-06
276.5,9.213789736999454e-06
276.53,9.213789736999454e-06
276.55,9.213789736999454e-06
276.58,9.213789736999454e-06
276.6,9.213789736999454e-06
276.63,9.213789736999454e-06
276.65,9.213789736999454e-06
276.68,9.213789736999454e-06
276.7,9.213789736999454e-06
276.73,9.213789736999454e-06
276.75,9.213789736999454e-06
276.78,9.213789736999454e-06
276.8,9.213789736999454e-06
276.83,9.213789736999454e-06
276.85,9.213789736999454e-06
276.88,9.213789736999454e-06
276.9,9.213789736999454e-06
276.93,9.213789736999454e-06
276.95,9.213789736999454e-06
276.98,9.213789736999454e-06
277.0,9.213789736999454e-06
277.03,9.213789736999454e-06
277.05,9.213789736999454e-06
277.08,9.213789736999454e-06
277.1,9.213789736999454e-06
277.13,9.213789736999454e-06
277.16,9.213789736999454e-06
277.18,9.213789736999454e-06
277.21,9.213789736999454e-06
277.23,9.213789736999454e-06
277.26,9.213789736999454e-06
277.28,9.213789736999454e-06
277.31,9.213789736999454e-06
277.33,9.213789736999454e-06
277.36,9.213789736999454e-06
277.38,9.213789736999454e-06
277.41,9.213789736999454e-06
277.43,9.213789736999454e-06
277.46,9.213789736999454e-06
277.48,9.213789736999454e-06
277.51,9.213789736999454e-06
277.53,9.213789736999454e-06
277.56,9.213789736999454e-06
277.58,9.213789736999454e-06
290.56,9.213789736999454e-06
290.58,9.213789736999454e-06
290.61,9.213789736999452e-06
290.63,9.213789736999452e-06
290.66,9.213789736999452e-06
290.69,9.213789736999452e-06
290.71,9.213789736999452e-06
290.74,9.213789736999452e-06
290.76,9.213789736999452e-06
290.79,9.213789736999452e-06
290.81,9.213789736999452e-06
290.84,9.213789736999452e-06
290.86,9.213789736999452e-06
290.89,9.213789736999452e-06
290.91,9.213789736999452e-06
290.94,9.213789736999452e-06
290.96,9.213789736999452e-06
290.99,9.213789736999452e-06
291.01,9.213789736999452e-06
291.04,9.213789736999452e-06
291.06,9.213789736999452e-06
291.09,9.213789736999452e-06
291.11,9.213789736999452e-06
291.14,9.213789736999452e-06
291.16,9.213789736999452e-06
291.19,9.213789736999452e-06
291.21,9.213789736999452e-06
291.24,9.213789736999452e-06
291.26,9.213789736999452e-06
291.29,9.213789736999452e-06
291.32,9.213789736999452e-06
291.34,9.213789736999452e-06
291.37,9.213789736999452e-06
291.39,9.213789736999452e-06
291.42,9.213789736999452e-06
291.44,9.213789736999452e-06
291.47,9.213789736999452e-06
291.49,9.213789736999452e-06
291.52,9.213789736999452e-06
291.54,9.213789736999452e-06
291.57,9.213789736999452e-06
291.59,9.213789736999452e-06
291.62,9.213789736999452e-06
291.64,9.213789736999452e-06
291.67,9.213789736999452e-06
291.69,9.213789736999452e-06
291.72,9.213789736999452e-06
291.74,9.213789736999452e-06
291.77,9.213789736999452e-06
291.79,9.213789736999452e-06
291.82,9.213789736999452e-06
291.84,9.213789736999452e-06
291.87,9.213789736999452e-06
291.89,9.213789736999452e-06
291.92,9.213789736999452e-06
291.95,9.213789736999452e-06
291.97,9.213789736999452e-06
292.0,9.213789736999452e-06
292.02,9.213789736999452e-06
292.05,9.213789736999452e-06
292.07,9.213789736999452e-06
292.1,9.213789736999452e-06
292.12,9.213789736999452e-06
292.15,9.213789736999452e-06
292.17,9.213789736999452e-06
292.2,9.213789736999452e-06
292.22,9.213789736999452e-06
292.25,9.213789736999452e-06
292.27,9.213789736999452e-06
292.3,9.213789736999452e-06
292.32,9.213789736999452e-06
292.35,9.213789736999452e-06
292.37,9.213789736999452e-06
292.4,9.213789736999452e-06
292.42,9.213789736999452e-06
292.45,9.213789736999452e-06
294.46,9.213789736999452e-06
294.49,9.213789736999452e-06
294.52,9.213789736999452e-06
294.54,9.213789736999452e-06
294.57,9.213789736999452e-06
294.59,9.213789736999452e-06
294.62,9.213789736999452e-06
294.64,9.213789736999452e-06
294.67,9.213789736999452e-06
294.69,9.213789736999452e-06
294.72,9.213789736999452e-06
294.74,9.213789736999452e-06
294.77,9.213789736999452e-06
294.79,9.213789736999452e-06
294.82,9.213789736999452e-06
294.84,9.213789736999452e-06
294.87,9.213789736999452e-06
294.89,9.213789736999452e-06
294.92,9.213789736999452e-06
294.94,9.213789736999452e-06
294.97,9.213789736999452e-06
294.99,9.213789736999452e-06
295.02,9.213789736999452e-06
295.04,9.213789736999452e-06
295.07,9.213789736999452e-06
295.09,9.213789736999452e-06
295.12,9.213789736999452e-06
295.15,9.213789736999452e-06
295.17,9.213789736999452e-06
295.2,9.213789736999452e-06
295.22,9.213789736999452e-06
295.25,9.213789736999452e-06
295.27,9.213789736999452e-06
295.3,9.213789736999452e-06
295.32,9.213789736999452e-06
295.35,9.213789736999452e-06
295.37,9.213789736999452e-06
295.4,9.213789736999452e-06
295.42,9.213789736999452e-06
295.45,9.213789736999452e-06
295.47,9.213789736999452e-06
295.5,9.213789736999452e-06
295.52,9.213789736999452e-06
295.55,9.213789736999452e-06
295.57,9.213789736999452e-06
295.6,9.213789736999452e-06
295.62,9.213789736999452e-06
295.65,9.213789736999452e-06
295.67,9.213789736999452e-06
295.7,9.213789736999452e-06
295.72,9.213789736999452e-06
295.75,9.213789736999452e-06
295.77,9.213789736999452e-06
295.8,9.213789736999452e-06
295.83,9.213789736999452e-06
