Wavelength (nm),Normalized
343.69,1.748006905217756e-06
343.72,1.7480067174864376e-06
343.74,1.7480065914085885e-06
343.77,1.748006526984209e-06
343.79,1.7480065242132998e-06
343.82,1.7480065830958597e-06
343.84,1.7480063677573514e-06
343.87,1.748004954722549e-06
343.89,1.748002184038603e-06
343.91,1.747985368867723e-06
343.94,1.7479559055023702e-06
343.96,1.7477892144200443e-06
343.99,1.7475322510205573e-06
344.01,1.7470619181866269e-06
344.04,1.7441282439275608e-06
344.06,1.7404681837274713e-06
344.09,1.7217857482045457e-06
344.11,1.7035163129137988e-06
344.13,1.6104443685835291e-06
344.16,1.5492737911430944e-06
344.18,1.192137356182448e-06
344.21,1.1307661376022884e-06
344.23,1.5752426339756622e-06
344.26,6.634288347108682e-07
344.28,2.954041527326898e-06
344.31,3.3395340522629832e-06
344.33,1.7086819388839113e-05
344.35,3.2678967700101015e-05
344.38,9.136339867478643e-05
344.4,0.0002071042685177
344.43,0.0003527366749264
344.45,0.0006426043513186
344.48,0.0010330520936984
344.5,0.0016949692669384
344.52,0.0025641516580011
344.55,0.0038204707245942
344.57,0.0053680544095648
344.6,0.0072979672458582
344.62,0.0095132680274427
344.65,0.0118281522359805
344.67,0.0140770754408266
344.7,0.0161708248781341
344.72,0.0177637459846883
344.74,0.0188948698510256
344.77,0.0192019497171378
344.79,0.0189099929470614
344.82,0.0177939921767598
344.84,0.016156598365649
344.87,0.0141524667751178
344.89,0.0118720200166957
344.92,0.0096092159701311
344.94,0.0074807514658734
344.96,0.0055839609104513
344.99,0.0040430070827607
345.01,0.0027668254498563
345.04,0.0018512880688911
345.06,0.0011151342097422
345.09,0.0006270832207963
345.11,0.0003633789056289
345.14,0.0001739901163106
345.16,9.460503431005524e-05
345.18,3.611355783746919e-05
345.21,2.032845502410795e-05
345.23,5.99586050165914e-06
345.26,4.653652565694722e-06
345.28,1.0177266793986418e-06
345.31,1.9854901602137778e-07
345.33,1.1469039933820669e-06
345.35,1.2097942729479622e-06
345.38,1.5664097712612338e-06
345.4,1.6250194144211812e-06
345.43,1.7134904268378522e-06
345.45,1.72511862993633e-06
345.48,1.735120516586381e-06
345.5,1.7443531720876223e-06
345.53,1.746164191281804e-06
345.55,1.7475329812911e-06
345.57,1.7477900004164954e-06
345.6,1.7479566576797978e-06
345.62,1.7479859976811949e-06
345.65,1.7480025999431882e-06
345.67,1.7480050681728076e-06
345.7,1.7480060892094933e-06
345.72,1.7480065880255133e-06
345.75,1.7480066618540254e-06
345.77,1.7480066944827382e-06
345.79,1.7480066989337896e-06
345.82,1.748006700723018e-06
345.84,1.7480067009472318e-06
345.87,1.7480067010293697e-06
345.89,1.7480067010384052e-06
345.92,1.7480067010409925e-06
345.94,1.7480067010418372e-06
345.97,1.7480067010419104e-06
345.99,1.7480067010418893e-06
346.01,1.7480067010418683e-06
346.04,1.7480067010418475e-06
346.06,1.748006701041772e-06
346.09,1.7480067010415812e-06
346.11,1.748006701040954e-06
346.14,1.7480067010351911e-06
346.16,1.7480067010185004e-06
346.19,1.7480067008769544e-06
346.21,1.748006700500561e-06
346.23,1.7480066975637266e-06
346.26,1.7480066904317667e-06
346.28,1.748006670160611e-06
346.31,1.7480065180390884e-06
346.33,1.748006192981662e-06
346.36,1.7480040954404916e-06
346.38,1.7480000776268137e-06
346.4,1.7479760492544774e-06
346.43,1.7479349437092597e-06
346.45,1.7477053359487076e-06
346.48,1.747360320177832e-06
346.5,1.746746610266814e-06
346.53,1.7428984792849317e-06
346.55,1.7382475970295417e-06
346.58,1.714533095753284e-06
346.6,1.692386818190472e-06
346.62,1.5780308589376251e-06
346.65,1.5092869708972388e-06
346.67,1.0871072689560493e-06
346.7,1.0527198384804348e-06
346.72,1.6718804652997036e-06
346.75,7.400109777872578e-07
346.77,3.7670076436616504e-06
346.8,4.811848467931806e-06
346.82,2.188999597644316e-05
346.84,4.178558248769141e-05
346.87,0.0001122850759097
346.89,0.000208457024057
346.92,0.0004320051119472
346.94,0.0008094876620624
346.97,0.0012910529762457
346.99,0.0020679412726443
347.02,0.0030665382077567
347.04,0.0044858329391111
347.06,0.006218737743457
347.09,0.008360917815598
347.11,0.0108029440529509
347.14,0.0133383986171705
347.16,0.0158844447497209
347.19,0.0182138147238187
347.21,0.0199818936891015
347.23,0.021235390407897
347.26,0.0215745744464508
347.28,0.0212521338356508
347.31,0.0200153805446093
347.33,0.0181968660540472
347.36,0.0159682131989948
347.38,0.0134280407689226
347.41,0.0109015655429742
347.43,0.0085176687060088
347.45,0.0063848190440113
347.48,0.004642583829522
347.5,0.0031952978677371
347.53,0.0021500488819072
347.55,0.0013061755321709
347.58,0.0007427267546124
347.6,0.0004340488903543
347.63,0.0002116620401955
347.65,0.0001161868346869
347.67,4.591958881118565e-05
347.7,2.5791754753673677e-05
347.72,8.016864606371155e-06
347.75,5.810786050782395e-06
347.77,1.1568490898656177e-06
347.8,0.0
347.82,1.0541956366092975e-06
347.85,1.0894215887490385e-06
347.87,1.5121044036887042e-06
347.89,1.5810159960619162e-06
347.92,1.6952042509819374e-06
347.94,1.716846958223849e-06
347.97,1.7397235094890104e-06
347.99,1.7432008750204978e-06
348.02,1.745540023358405e-06
348.04,1.747361425168448e-06
348.06,1.7477065259932364e-06
348.09,1.7479360831589306e-06
348.11,1.7479770024605202e-06
348.14,1.7480007089404576e-06
348.16,1.7480042692120369e-06
348.19,1.74800577356443e-06
348.21,1.7480065257935122e-06
348.24,1.7480066391491929e-06
348.26,1.7480066904338996e-06
348.28,1.748006697566054e-06
348.31,1.7480067005028574e-06
348.33,1.7480067008789788e-06
348.36,1.7480067010199954e-06
348.38,1.7480067010358868e-06
348.41,1.7480067010405647e-06
348.43,1.7480067010421582e-06
348.46,1.748006701042334e-06
348.48,1.7480067010423289e-06
348.5,1.7480067010423234e-06
348.53,1.7480067010423185e-06
348.55,1.7480067010423128e-06
348.58,1.7480067010423073e-06
348.6,1.7480067010423016e-06
348.63,1.7480067010422965e-06
348.65,1.748006701042291e-06
348.68,1.7480067010422857e-06
348.7,1.7480067010422804e-06
348.72,1.7480067010422749e-06
348.75,1.7480067010422698e-06
348.77,1.7480067010422645e-06
348.8,1.7480067010422588e-06
348.82,1.7480067010422533e-06
348.85,1.7480067010422482e-06
348.87,1.748006701042243e-06
348.89,1.7480067010422376e-06
348.92,1.748006701042232e-06
348.94,1.748006701042227e-06
348.97,1.7480067010422215e-06
348.99,1.7480067010422156e-06
349.02,1.7480067010422105e-06
349.04,1.748006701042205e-06
349.07,1.7480067010421997e-06
349.09,1.7480067010421944e-06
349.11,1.748006701042189e-06
349.14,1.7480067010421838e-06
349.16,1.7480067010421783e-06
349.19,1.7480067010421728e-06
349.21,1.748006701042167e-06
349.24,1.748006701042162e-06
349.26,1.7480067010421565e-06
349.29,1.748006701042151e-06
349.31,1.748006701042146e-06
349.33,1.7480067010421408e-06
349.36,1.7480067010421351e-06
349.38,1.7480067010421302e-06
349.41,1.7480067010421247e-06
349.43,1.7480067010421188e-06
349.46,1.7480067010421135e-06
349.48,1.748006701042108e-06
349.51,1.7480067010421027e-06
349.53,1.7480067010420974e-06
349.55,1.748006701042092e-06
349.58,1.748006701042087e-06
349.6,1.7480067010420811e-06
349.63,1.748006701042076e-06
349.65,1.7480067010420707e-06
349.68,1.7480067010420654e-06
349.7,1.7480067010420602e-06
349.72,1.7480067010420549e-06
349.75,1.7480067010420494e-06
349.77,1.748006701042044e-06
349.8,1.7480067010420386e-06
349.82,1.748006701042033e-06
349.85,1.7480067010420275e-06
349.87,1.748006701042022e-06
349.9,1.7480067010420167e-06
349.92,1.7480067010420114e-06
349.94,1.7480067010420064e-06
349.97,1.7480067010420009e-06
349.99,1.7480067010419958e-06
350.02,1.7480067010419905e-06
350.04,1.7480067010419846e-06
350.07,1.748006701041979e-06
350.09,1.7480067010419735e-06
350.12,1.7480067010419685e-06
350.14,1.7480067010419632e-06
350.16,1.748006701041958e-06
350.19,1.7480067010419526e-06
350.21,1.7480067010419473e-06
350.24,1.7480067010419418e-06
350.26,1.748006701041936e-06
350.29,1.7480067010419306e-06
350.31,1.7480067010419253e-06
350.34,1.7480067010419198e-06
350.36,1.7480067010419149e-06
350.38,1.7480067010419096e-06
350.41,1.748006701041904e-06
350.43,1.7480067010418986e-06
350.46,1.7480067010418935e-06
350.48,1.7480067010418878e-06
350.51,1.7480067010418825e-06
350.53,1.7480067010418768e-06
350.56,1.7480067010418717e-06
350.58,1.7480067010418662e-06
350.6,1.748006701041861e-06
350.63,1.7480067010418556e-06
350.65,1.74800670104185e-06
350.68,1.748006701041845e-06
350.7,1.7480067010418395e-06
350.73,1.748006701041834e-06
350.75,1.748006701041829e-06
350.77,1.7480067010418236e-06
350.8,1.7480067010418183e-06
350.82,1.7480067010418128e-06
350.85,1.748006701041775e-06
350.87,1.7480067010416491e-06
350.9,1.7480067010405982e-06
350.92,1.7480067010375751e-06
350.95,1.7480067010119608e-06
350.97,1.748006700943394e-06
350.99,1.7480067004043356e-06
351.02,1.7480066990820352e-06
351.04,1.7480066894754447e-06
351.07,1.7480066679680949e-06
351.09,1.748006611203985e-06
351.12,1.748006207717368e-06
351.14,1.748005414572454e-06
351.17,1.748000588353498e-06
351.19,1.747992135204772e-06
351.21,1.747944165333856e-06
351.24,1.7478698684302686e-06
351.26,1.747471515687954e-06
351.29,1.746937366386825e-06
351.31,1.7460986384633827e-06
351.34,1.7406653233519587e-06
351.36,1.735083829146342e-06
351.39,1.706032007829777e-06
351.41,1.6851363352985674e-06
351.43,1.5665084986129292e-06
351.46,1.5315913149950038e-06
351.48,1.6405838202769442e-06
351.51,1.246896097700761e-06
351.53,1.8421441660848444e-06
351.56,1.53279710482715e-06
351.58,5.616501148320364e-06
351.6,9.507020764643464e-06
351.63,2.8533839419693537e-05
351.65,5.3362169373777056e-05
351.68,0.0001200948074363
351.7,0.0002393666771539
351.73,0.0003912178518834
351.75,0.0006569935721137
351.78,0.0010061593401507
351.8,0.0015429192288971
351.82,0.0022214490691214
351.85,0.0031276436173999
351.87,0.0041974457598097
351.9,0.0054396006966889
351.92,0.0067849075710753
351.95,0.0081175709970651
351.97,0.0093043181507327
352.0,0.0103222294399251
352.02,0.0109615610253904
352.04,0.0112905450757787
352.07,0.0111266350197266
352.09,0.0106372327281388
352.12,0.009732720354239
352.14,0.0085951718726393
352.17,0.0073292823167531
352.19,0.0060014177732017
352.22,0.0047394224145448
352.24,0.0036140747607272
352.26,0.0026382653607326
352.29,0.0018790014124319
352.31,0.0012590671960416
352.34,0.0008344317506748
352.36,0.00049449185438
352.39,0.000274547027758
352.41,0.0001607337018263
352.43,7.816817331722713e-05
352.46,4.490665464092068e-05
352.48,1.9241649660758703e-05
352.51,1.170882013218674e-05
352.53,3.823478472502494e-06
352.56,9.320432410836954e-07
352.58,1.4068678132864954e-06
352.61,1.0782572169525965e-06
352.63,1.4927699639767488e-06
352.65,1.520301907060868e-06
352.68,1.6718309390505646e-06
352.7,1.6962343737931011e-06
352.73,1.7335341587657784e-06
352.75,1.7382971267893903e-06
352.78,1.7424906650605251e-06
352.8,1.746430363112323e-06
352.83,1.7472025134308796e-06
352.85,1.7477974453053284e-06
352.87,1.7479096439316045e-06
352.9,1.747983930904893e-06
352.92,1.7479971192001584e-06
352.95,1.748004768512661e-06
352.97,1.7480059148102676e-06
353.0,1.7480064004647955e-06
353.02,1.748006644011918e-06
353.05,1.7480066808014333e-06
353.07,1.7480066975473998e-06
353.09,1.7480066998894035e-06
353.12,1.748006700861306e-06
353.14,1.748006700986733e-06
353.17,1.748006701034268e-06
353.19,1.7480067010396777e-06
353.22,1.7480067010412902e-06
353.24,1.7480067010418484e-06
353.26,1.7480067010419128e-06
353.29,1.7480067010419128e-06
353.31,1.7480067010419128e-06
353.34,1.7480067010419128e-06
353.36,1.7480067010419128e-06
353.39,1.7480067010419128e-06
353.41,1.7480067010419128e-06
353.44,1.7480067010419126e-06
353.46,1.7480067010419126e-06
353.48,1.7480067010419126e-06
353.51,1.7480067010419126e-06
353.53,1.7480067010419126e-06
353.56,1.7480067010419126e-06
353.58,1.7480067010419126e-06
353.61,1.7480067010419126e-06
353.63,1.7480067010419126e-06
353.66,1.7480067010419126e-06
353.68,1.7480067010419126e-06
353.7,1.7480067010419126e-06
353.73,1.7480067010419126e-06
353.75,1.7480067010419126e-06
353.78,1.748006701041912e-06
353.8,1.748006701041912e-06
353.83,1.748006701041912e-06
353.85,1.748006701041912e-06
353.88,1.748006701041912e-06
353.9,1.748006701041912e-06
353.92,1.748006701041912e-06
353.95,1.748006701041912e-06
353.97,1.748006701041912e-06
354.0,1.748006701041912e-06
354.02,1.748006701041912e-06
354.05,1.748006701041912e-06
354.07,1.748006701041912e-06
354.1,1.748006701041912e-06
354.12,1.7480067010419115e-06
354.14,1.7480067010419115e-06
354.17,1.7480067010419115e-06
354.19,1.7480067010419115e-06
354.22,1.7480067010419115e-06
354.24,1.7480067010419115e-06
354.27,1.7480067010419115e-06
354.29,1.7480067010419115e-06
354.31,1.7480067010419115e-06
354.34,1.7480067010419115e-06
354.36,1.7480067010419115e-06
354.39,1.7480067010419115e-06
354.41,1.7480067010419115e-06
354.44,1.7480067010419115e-06
354.46,1.7480067010419115e-06
354.49,1.7480067010419115e-06
354.51,1.7480067010419115e-06
354.53,1.7480067010419115e-06
354.56,1.7480067010419115e-06
354.58,1.7480067010419115e-06
354.61,1.7480067010419115e-06
354.63,1.7480067010419115e-06
354.66,1.7480067010419115e-06
354.68,1.7480067010419115e-06
354.71,1.7480067010419115e-06
354.73,1.7480067010419115e-06
354.75,1.7480067010419115e-06
354.78,1.7480067010419115e-06
354.8,1.748006701041911e-06
354.83,1.748006701041911e-06
354.85,1.748006701041911e-06
354.88,1.748006701041911e-06
354.9,1.748006701041911e-06
354.93,1.748006701041911e-06
354.95,1.748006701041911e-06
354.97,1.748006701041911e-06
355.0,1.748006701041911e-06
355.02,1.748006701041911e-06
355.05,1.748006701041911e-06
355.07,1.748006701041911e-06
355.1,1.748006701041911e-06
355.12,1.748006701041911e-06
355.14,1.7480067010419109e-06
355.17,1.7480067010419109e-06
355.19,1.7480067010419109e-06
355.22,1.7480067010419109e-06
355.24,1.7480067010419109e-06
355.27,1.7480067010419109e-06
355.29,1.7480067010419109e-06
355.32,1.7480067010419109e-06
355.34,1.7480067010419109e-06
355.36,1.7480067010419109e-06
355.39,1.7480067010419109e-06
355.41,1.7480067010419109e-06
355.44,1.7480067010419109e-06
355.46,1.7480067010419109e-06
355.49,1.7480067010419104e-06
355.51,1.7480067010419104e-06
355.54,1.7480067010419104e-06
355.56,1.7480067010419104e-06
355.58,1.7480067010419104e-06
355.61,1.7480067010419104e-06
355.63,1.7480067010419104e-06
355.66,1.7480067010419104e-06
355.68,1.7480067010419104e-06
355.71,1.7480067010419104e-06
355.73,1.7480067010419104e-06
355.76,1.7480067010419104e-06
355.78,1.7480067010419104e-06
355.8,1.7480067010419104e-06
355.83,1.7480067010419102e-06
355.85,1.7480067010419102e-06
355.88,1.7480067010419102e-06
355.9,1.7480067010419102e-06
355.93,1.7480067010419102e-06
355.95,1.7480067010419102e-06
355.97,1.7480067010419102e-06
356.0,1.7480067010419102e-06
356.02,1.7480067010419102e-06
356.05,1.7480067010419102e-06
356.07,1.7480067010419102e-06
356.1,1.7480067010419102e-06
356.12,1.7480067010419102e-06
356.15,1.7480067010419102e-06
356.17,1.7480067010419102e-06
356.19,1.7480067010419098e-06
356.22,1.7480067010419098e-06
356.24,1.7480067010419098e-06
356.27,1.7480067010419098e-06
356.29,1.7480067010419098e-06
356.32,1.7480067010419098e-06
356.34,1.7480067010419098e-06
356.37,1.7480067010419098e-06
356.39,1.7480067010419098e-06
356.41,1.7480067010419098e-06
356.44,1.7480067010419098e-06
356.46,1.7480067010419098e-06
356.49,1.7480067010419098e-06
356.51,1.7480067010419098e-06
356.54,1.7480067010419096e-06
356.56,1.7480067010419096e-06
356.59,1.7480067010419096e-06
356.61,1.7480067010419096e-06
356.63,1.7480067010419096e-06
356.66,1.7480067010419096e-06
356.68,1.7480067010419096e-06
356.71,1.7480067010419096e-06
356.73,1.7480067010419096e-06
356.76,1.7480067010419096e-06
356.78,1.7480067010419096e-06
356.8,1.7480067010419096e-06
356.83,1.7480067010419096e-06
356.85,1.7480067010419096e-06
356.88,1.7480067010419096e-06
356.9,1.7480067010419092e-06
356.93,1.7480067010419092e-06
356.95,1.7480067010419092e-06
356.98,1.7480067010419092e-06
357.0,1.7480067010419092e-06
357.02,1.7480067010419092e-06
357.05,1.7480067010419092e-06
357.07,1.7480067010419092e-06
357.1,1.7480067010419092e-06
357.12,1.7480067010419092e-06
357.15,1.7480067010419092e-06
357.17,1.7480067010419092e-06
357.2,1.7480067010419092e-06
357.22,1.748006701041909e-06
357.24,1.748006701041909e-06
357.27,1.748006701041909e-06
357.29,1.748006701041909e-06
357.32,1.748006701041909e-06
357.34,1.748006701041909e-06
357.37,1.748006701041909e-06
357.39,1.748006701041909e-06
357.42,1.748006701041909e-06
357.44,1.748006701041909e-06
357.46,1.748006701041909e-06
357.49,1.748006701041909e-06
357.51,1.748006701041909e-06
357.54,1.748006701041909e-06
357.56,1.7480067010419083e-06
357.59,1.7480067010419083e-06
357.61,1.7480067010419083e-06
357.64,1.7480067010419083e-06
357.66,1.7480067010419083e-06
357.68,1.7480067010419083e-06
357.71,1.7480067010419083e-06
357.73,1.7480067010419083e-06
357.76,1.7480067010419083e-06
357.78,1.7480067010419083e-06
357.81,1.7480067010419083e-06
357.83,1.7480067010419083e-06
357.85,1.7480067010419083e-06
357.88,1.7480067010419083e-06
357.9,1.7480067010419083e-06
357.93,1.7480067010419083e-06
357.95,1.7480067010419083e-06
357.98,1.7480067010419083e-06
358.0,1.7480067010419083e-06
358.03,1.7480067010419083e-06
358.05,1.7480067010419083e-06
358.07,1.7480067010419083e-06
358.1,1.7480067010419083e-06
358.12,1.7480067010419083e-06
358.15,1.7480067010419083e-06
358.17,1.7480067010419083e-06
358.2,1.7480067010419083e-06
358.22,1.7480067010419083e-06
358.25,1.7480067010419083e-06
358.27,1.748006701041908e-06
358.29,1.748006701041908e-06
358.32,1.748006701041908e-06
358.34,1.748006701041908e-06
358.37,1.748006701041908e-06
358.39,1.748006701041908e-06
358.42,1.748006701041908e-06
358.44,1.748006701041908e-06
358.47,1.748006701041908e-06
358.49,1.748006701041908e-06
358.51,1.748006701041908e-06
358.54,1.748006701041908e-06
358.56,1.748006701041908e-06
358.59,1.7480067010419077e-06
358.61,1.7480067010419077e-06
358.64,1.7480067010419077e-06
358.66,1.7480067010419077e-06
358.68,1.7480067010419077e-06
358.71,1.7480067010419077e-06
358.73,1.7480067010419077e-06
358.76,1.7480067010419077e-06
358.78,1.7480067010419077e-06
358.81,1.7480067010419077e-06
358.83,1.7480067010419077e-06
358.86,1.7480067010419077e-06
358.88,1.7480067010419077e-06
358.9,1.7480067010419077e-06
358.93,1.7480067010419073e-06
358.95,1.7480067010419073e-06
358.98,1.7480067010419073e-06
359.0,1.7480067010419073e-06
359.03,1.7480067010419073e-06
359.05,1.7480067010419073e-06
359.08,1.7480067010419073e-06
359.1,1.7480067010419073e-06
359.12,1.7480067010419073e-06
359.15,1.7480067010419073e-06
359.17,1.7480067010419073e-06
359.2,1.7480067010419073e-06
359.22,1.7480067010419073e-06
359.25,1.7480067010419073e-06
359.27,1.7480067010419073e-06
359.3,1.748006701041907e-06
359.32,1.748006701041907e-06
359.34,1.748006701041907e-06
359.37,1.748006701041907e-06
359.39,1.748006701041907e-06
359.42,1.748006701041907e-06
359.44,1.748006701041907e-06
359.47,1.748006701041907e-06
359.49,1.748006701041907e-06
359.51,1.748006701041907e-06
359.54,1.748006701041907e-06
