Wavelength (nm),Normalized
381.0,7.819691402403485e-07
381.02,7.819691091121763e-07
381.05,7.819690882686595e-07
381.07,7.819690777097982e-07
381.1,7.819690774355924e-07
381.12,7.81969087446042e-07
381.15,7.819690574975316e-07
381.17,7.819689876016712e-07
381.2,7.819685193028138e-07
381.22,7.819677114409829e-07
381.25,7.819630998187265e-07
381.27,7.819559934312028e-07
381.29,7.81917471124584e-07
381.32,7.81865033470529e-07
381.34,7.815898139252053e-07
381.37,7.812674046254035e-07
381.39,7.808326806067036e-07
381.42,7.776887133123173e-07
381.44,7.749515888358273e-07
381.47,7.594750337972981e-07
381.49,7.507532167373831e-07
381.51,6.916448409454756e-07
381.54,6.846406714277666e-07
381.56,5.160079389789104e-07
381.59,6.429589330086923e-07
381.61,1.233687741034443e-06
381.64,1.243190954811445e-06
381.66,3.482163437018428e-06
381.69,5.232983150232806e-06
381.71,1.4944462664077158e-05
381.73,2.6541888641493343e-05
381.76,6.138370551583325e-05
381.78,0.0001075947744908
381.81,0.0002104182508168
381.83,0.0003815276359489
381.86,0.0005947940741031
381.88,0.0009436241860662
381.91,0.0013884252591914
381.93,0.0020465219015612
381.95,0.0028601781370477
381.98,0.0039319266083692
382.0,0.005185232240259
382.03,0.0066520561076062
382.05,0.0082657184747291
382.08,0.0098886956045036
382.1,0.011407968841538
382.13,0.0127908804745975
382.15,0.0138156438008077
382.17,0.0145395503219291
382.2,0.0147297122016375
382.22,0.0145488817094666
382.25,0.0138343065758827
382.27,0.0127717672187448
382.3,0.011456878183114
382.32,0.00991789104919
382.35,0.008347160036466
382.37,0.0068015025693126
382.39,0.0053634601333655
382.42,0.0041173932985437
382.44,0.0030299010603292
382.47,0.0021809662807978
382.49,0.0014668228579592
382.52,0.0009476963177817
382.54,0.0006355126025677
382.57,0.000406690355262
382.59,0.0003400020389939
382.61,0.0003298002582395
382.64,0.0004964931620045
382.66,0.0007479719109939
382.69,0.0012765435314766
382.71,0.0019842348897483
382.74,0.0031411671309812
382.76,0.0047527647945398
382.79,0.0066783405884101
382.81,0.0091921927944041
382.84,0.0121095272257937
382.86,0.0155563819687324
382.88,0.019324165653125
382.91,0.0232659582636267
382.93,0.0272149907437695
382.96,0.0307358037046693
382.98,0.0337288998859907
383.01,0.0359268599546544
383.03,0.0368448539736896
383.06,0.0368402526343177
383.08,0.0354600331601914
383.1,0.0332650870224451
383.13,0.0300594068169932
383.15,0.0264178489190778
383.18,0.0223808493413615
383.2,0.0182817692221888
383.23,0.0144749438703978
383.25,0.0111370207423669
383.28,0.0082389979928868
383.3,0.0059811808271764
383.32,0.0041317668530713
383.35,0.0028456753374399
383.37,0.0018280874192167
383.4,0.0011865958737126
383.42,0.0006709214106374
383.45,0.0003538388778521
383.47,0.0002040316400343
383.5,9.205679150733252e-05
383.52,5.149961667675323e-05
383.54,1.870840439098025e-05
383.57,1.139749822146019e-05
383.59,3.353400478446918e-06
383.62,2.7672294204149944e-06
383.64,5.628677517572829e-07
383.67,0.0
383.69,4.947487407164897e-07
383.72,4.87743361336119e-07
383.74,6.79111655381498e-07
383.76,7.04249050595949e-07
383.79,7.574272132871945e-07
383.81,7.665038371162589e-07
383.84,7.77821714479851e-07
383.86,7.793146200977087e-07
383.89,7.80498268398028e-07
383.91,7.815577929562151e-07
383.94,7.817606571395868e-07
383.96,7.819150940145846e-07
383.98,7.819438556298287e-07
384.01,7.819631199990792e-07
384.03,7.819665409444183e-07
384.06,7.819685766453447e-07
384.08,7.819688835386039e-07
384.11,7.819690180599918e-07
384.13,7.819690889091803e-07
384.16,7.819690999822767e-07
384.18,7.819691053308451e-07
384.2,7.819691061173257e-07
384.23,7.819691064675171e-07
384.25,7.819691065158277e-07
384.28,7.81969106535712e-07
384.3,7.819691065382097e-07
384.33,7.819691065390431e-07
384.35,7.819691065393506e-07
384.38,7.819691065393465e-07
384.4,7.819691065393423e-07
384.42,7.819691065393383e-07
384.45,7.819691065393342e-07
384.47,7.819691065393301e-07
384.5,7.819691065393257e-07
384.52,7.819691065393214e-07
384.55,7.81969106539317e-07
384.57,7.819691065393127e-07
384.6,7.819691065393085e-07
384.62,7.819691065393042e-07
384.65,7.819691065393001e-07
384.67,7.81969106539296e-07
384.69,7.81969106539292e-07
384.72,7.819691065392877e-07
384.74,7.819691065392835e-07
384.77,7.819691065392793e-07
384.79,7.819691065392748e-07
384.82,7.819691065392706e-07
384.84,7.819691065392663e-07
384.87,7.819691065392623e-07
384.89,7.819691065392582e-07
384.91,7.81969106539254e-07
384.94,7.819691065392499e-07
384.96,7.819691065392457e-07
384.99,7.819691065392414e-07
385.01,7.81969106539237e-07
385.04,7.819691065392328e-07
385.06,7.819691065392285e-07
385.09,7.819691065392244e-07
385.11,7.819691065392203e-07
385.13,7.819691065392161e-07
385.16,7.81969106539212e-07
385.18,7.819691065392078e-07
385.21,7.819691065392036e-07
385.23,7.819691065391991e-07
385.26,7.819691065391949e-07
385.28,7.819691065391906e-07
385.31,7.819691065391866e-07
385.33,7.819691065391825e-07
385.35,7.819691065391783e-07
385.38,7.819691065391742e-07
385.4,7.8196910653917e-07
385.43,7.819691065391658e-07
385.45,7.819691065391613e-07
385.48,7.819691065391571e-07
385.5,7.819691065391528e-07
385.53,7.819691065391487e-07
385.55,7.819691065391446e-07
385.57,7.819691065391404e-07
385.6,7.819691065391363e-07
385.62,7.819691065391321e-07
385.65,7.819691065391279e-07
385.67,7.819691065391234e-07
385.7,7.819691065391193e-07
385.72,7.81969106539115e-07
385.75,7.819691065391109e-07
385.77,7.819691065391068e-07
385.79,7.819691065391026e-07
385.82,7.819691065390985e-07
385.84,7.819691065390943e-07
385.87,7.8196910653909e-07
385.89,7.819691065390856e-07
385.92,7.819691065390814e-07
385.94,7.819691065390771e-07
385.97,7.81969106539073e-07
385.99,7.819691065390689e-07
386.01,7.819691065390647e-07
386.04,7.819691065390606e-07
386.06,7.819691065390564e-07
386.09,7.819691065390522e-07
386.11,7.819691065390479e-07
386.14,7.819691065390436e-07
386.16,7.819691065390391e-07
386.19,7.819691065390349e-07
386.21,7.819691065390306e-07
386.24,7.819691065390265e-07
386.26,7.819691065390224e-07
386.28,7.819691065390183e-07
386.31,7.819691065390141e-07
