Wavelength (nm),Normalized
287.47,4.217306484519154e-07
287.49,4.217306259761887e-07
287.52,4.217306108952048e-07
287.54,4.2173060320896395e-07
287.57,4.217306029174661e-07
287.59,4.217306100207112e-07
287.61,4.217305248544313e-07
287.64,4.217303045346832e-07
287.66,4.217296534263896e-07
287.69,4.217247447748973e-07
287.71,4.2171420036087386e-07
287.74,4.216480578822493e-07
287.76,4.2152694388564036e-07
287.78,4.208484781551888e-07
287.81,4.1980979213011626e-07
287.83,4.179904224000053e-07
287.86,4.072669524989579e-07
287.88,3.955629471693592e-07
287.91,3.402655427791624e-07
287.93,3.036968416698039e-07
287.95,1.1778442588656453e-07
287.98,1.296188437468076e-07
288.0,4.901372180095892e-07
288.03,5.099055000539351e-07
288.05,2.4112890727743294e-06
288.08,4.905825281279899e-06
288.1,1.366558773529314e-05
288.12,2.6856998555499787e-05
288.15,5.455548970143572e-05
288.17,9.867418767276194e-05
288.2,0.0001561818595048
288.22,0.0002367565422243
288.25,0.000334532162917
288.27,0.0004477970473649
288.29,0.0005684705017172
288.32,0.0006797798863339
288.34,0.0007715259865564
288.37,0.0008335393255513
288.39,0.0008558245876373
288.42,0.0008363166972308
288.44,0.000768691072646
288.46,0.0006745835927121
288.49,0.0005569645106667
288.51,0.0004359611475237
288.54,0.0003227806583478
288.56,0.0002228874835569
288.59,0.0001437479807998
288.61,8.890086991844012e-05
288.63,4.9189067486913125e-05
288.66,2.750502841900275e-05
288.68,1.2618147272927137e-05
288.71,6.5713859227418576e-06
288.73,1.8701895533913568e-06
288.76,4.213018884746373e-08
288.78,1.5915313951829533e-07
288.8,0.0
288.83,2.5397429932367053e-07
288.85,2.9198776797447113e-07
288.88,3.818461373394941e-07
288.9,3.944844860739144e-07
288.93,4.063588140746837e-07
288.95,4.173808792817165e-07
288.97,4.196272489208085e-07
289.0,4.212213326105165e-07
289.02,4.215167814701439e-07
289.05,4.216880867106713e-07
289.07,4.217140755728585e-07
289.1,4.217246411003336e-07
289.12,4.217295857201765e-07
289.14,4.217302876526442e-07
289.17,4.217305736523687e-07
