Wavelength (nm),Normalized
403.14,1.378821874819531e-07
403.17,1.3788216103073318e-07
403.19,1.378821435757558e-07
403.22,1.378821351170207e-07
403.24,1.3788213565452806e-07
403.27,1.3788214518827786e-07
403.29,1.3788209341521813e-07
403.32,1.378820037410775e-07
403.34,1.3788181556530908e-07
403.37,1.3788058924738466e-07
403.39,1.3787870531125028e-07
403.42,1.3786836685906622e-07
403.44,1.3785430151451425e-07
403.46,1.377797069449825e-07
403.49,1.3769096364118968e-07
403.51,1.3722473888476624e-07
403.54,1.3675898298783293e-07
403.56,1.342544240369216e-07
403.59,1.3232085921477778e-07
403.61,1.2092147280312085e-07
403.64,1.1543372707048273e-07
403.66,7.278270091447132e-08
403.69,7.1039872695438e-08
403.71,1.3515590218148598e-07
403.74,0.0
403.76,2.608544889946347e-07
403.79,9.332683719377361e-08
403.81,1.6328791228219912e-06
403.83,2.6275962310001267e-06
403.86,9.71632214756272e-06
403.88,1.750874352756244e-05
403.91,4.375738288889054e-05
403.93,7.708512186621548e-05
403.96,0.0001582554884952
403.98,0.0002654142307954
404.01,0.0004790005747962
404.03,0.0008150076076248
404.06,0.0012282999590527
404.08,0.0018706251556291
404.11,0.0026718492187051
404.13,0.0038174619548715
404.15,0.0052058973728978
404.18,0.0070015780219818
404.2,0.0090769804698361
404.23,0.0114978964568384
404.25,0.0141261834960067
404.28,0.0168746860078636
404.3,0.0195080054265294
404.33,0.0219648979807194
404.35,0.0239995908079487
404.38,0.0255627110638385
404.4,0.0264400108555019
404.43,0.0268406865496721
404.45,0.0265530080387654
404.48,0.0258830346237366
404.5,0.0247508609256271
404.52,0.0234595466025712
404.55,0.0220231644469495
404.57,0.0206297665347211
404.6,0.019312285114722
404.62,0.0181155808026629
404.65,0.0170269242632138
404.67,0.0161158082854154
404.7,0.0151658596975312
404.72,0.0142750072643168
404.75,0.0132345141387902
404.77,0.0121177662634397
404.8,0.0109251625269382
404.82,0.0096568592936455
404.85,0.0083537442480901
404.87,0.0070635531955372
404.89,0.0058145982966575
404.92,0.0046782305234855
404.94,0.0036377562255043
404.97,0.0027649897238308
404.99,0.001995279142359
405.02,0.0013876497931303
405.04,0.000960469701755
405.07,0.0006188444017461
405.09,0.0004034307008681
405.12,0.0002386111776632
405.14,0.000147676973654
405.17,7.917545168554301e-05
405.19,4.7238742817284026e-05
405.21,2.274775820740635e-05
405.24,1.3634649618921027e-05
405.26,5.951785725380533e-06
405.29,3.6979749255899745e-06
405.31,1.157426449672254e-06
405.34,1.4029987158301697e-07
405.36,1.803874301092064e-07
405.39,5.369788257037308e-09
405.41,9.29655097929584e-08
405.44,7.739382110494776e-08
405.46,1.1664752615550829e-07
405.49,1.1950995037883913e-07
405.51,1.3166868896070516e-07
405.54,1.3347797331547248e-07
405.56,1.3647640779031782e-07
405.58,1.3701065390056616e-07
405.61,1.376276403161428e-07
405.63,1.3774200075429077e-07
405.66,1.37846841419082e-07
405.68,1.3786236661629953e-07
405.71,1.3787215490184345e-07
405.73,1.37879572203457e-07
405.76,1.3788094101338837e-07
405.78,1.3788186492557757e-07
405.81,1.3788202953722714e-07
405.83,1.378821301365531e-07
405.86,1.378821473125209e-07
405.88,1.3788215690962717e-07
405.9,1.3788215847070897e-07
405.93,1.3788215927503378e-07
405.95,1.378821593988077e-07
405.98,1.3788215945761644e-07
408.1,1.378821594655545e-07
408.12,1.378821594684638e-07
408.15,1.3788215946973706e-07
408.17,1.378821594699251e-07
408.2,1.3788215947000086e-07
408.22,1.378821594700011e-07
408.25,1.3788215947000104e-07
408.27,1.3788215947000104e-07
408.3,1.3788215947000096e-07
408.32,1.3788215947000096e-07
408.34,1.378821594700009e-07
408.37,1.3788215947000086e-07
408.39,1.378821594700008e-07
408.42,1.3788215947000078e-07
408.44,1.3788215947000073e-07
408.47,1.378821594700007e-07
408.49,1.378821594700007e-07
408.52,1.3788215947000065e-07
408.54,1.378821594700006e-07
408.57,1.3788215947000054e-07
408.59,1.3788215947000054e-07
408.62,1.3788215947000046e-07
408.64,1.378821594700004e-07
408.67,1.3788215947000038e-07
408.69,1.3788215947000038e-07
408.71,1.3788215947000033e-07
408.74,1.378821594700003e-07
408.76,1.3788215947000025e-07
408.79,1.378821594700002e-07
408.81,1.3788215947000014e-07
408.84,1.3788215947000006e-07
408.86,1.3788215947000006e-07
408.89,1.3788215947e-07
408.91,1.3788215946999996e-07
408.94,1.3788215946999996e-07
408.96,1.378821594699999e-07
408.99,1.3788215946999985e-07
409.01,1.378821594699998e-07
409.04,1.3788215946999977e-07
409.06,1.3788215946999977e-07
409.08,1.378821594699997e-07
409.11,1.378821594699997e-07
409.13,1.3788215946999964e-07
409.16,1.378821594699996e-07
409.18,1.3788215946999956e-07
409.21,1.378821594699995e-07
409.23,1.3788215946999948e-07
409.26,1.378821594699994e-07
409.28,1.378821594699994e-07
409.31,1.3788215946999932e-07
409.33,1.378821594699993e-07
409.36,1.3788215946999924e-07
409.38,1.3788215946999924e-07
409.4,1.3788215946999916e-07
409.43,1.3788215946999916e-07
409.45,1.378821594699991e-07
409.48,1.3788215946999906e-07
409.5,1.37882159469999e-07
409.53,1.3788215946999898e-07
409.55,1.3788215946999893e-07
409.58,1.378821594699989e-07
409.6,1.378821594699989e-07
409.63,1.3788215946999882e-07
409.65,1.378821594699988e-07
409.68,1.3788215946999874e-07
409.7,1.3788215946999874e-07
409.73,1.3788215946999866e-07
409.75,1.378821594699986e-07
409.77,1.3788215946999858e-07
409.8,1.3788215946999858e-07
409.82,1.378821594699985e-07
409.85,1.378821594699985e-07
409.87,1.3788215946999845e-07
409.9,1.378821594699984e-07
409.92,1.3788215946999834e-07
409.95,1.3788215946999834e-07
409.97,1.3788215946999826e-07
410.0,1.3788215946999826e-07
410.02,1.378821594699982e-07
410.05,1.3788215946999816e-07
410.07,1.3788215946999813e-07
410.09,1.3788215946999808e-07
410.12,1.3788215946999805e-07
410.14,1.37882159469998e-07
410.17,1.3788215946999797e-07
410.19,1.3788215946999792e-07
410.22,1.378821594699979e-07
410.24,1.3788215946999784e-07
410.27,1.3788215946999781e-07
410.29,1.3788215946999776e-07
410.32,1.378821594699977e-07
410.34,1.3788215946999768e-07
410.37,1.3788215946999768e-07
410.39,1.378821594699976e-07
410.42,1.378821594699976e-07
410.44,1.378821594699975e-07
410.46,1.378821594699975e-07
410.49,1.3788215946999744e-07
410.51,1.378821594699974e-07
410.54,1.3788215946999736e-07
410.56,1.3788215946999736e-07
410.59,1.3788215946999729e-07
410.61,1.3788215946999726e-07
410.64,1.378821594699972e-07
410.66,1.3788215946999718e-07
410.69,1.378821594699971e-07
410.71,1.378821594699971e-07
410.74,1.3788215946999705e-07
410.76,1.37882159469997e-07
410.78,1.3788215946999697e-07
410.81,1.3788215946999694e-07
410.83,1.378821594699969e-07
410.86,1.3788215946999686e-07
410.88,1.378821594699968e-07
410.91,1.3788215946999678e-07
410.93,1.3788215946999673e-07
410.96,1.3788215946999665e-07
410.98,1.3788215946999662e-07
411.01,1.378821594699966e-07
411.03,1.3788215946999654e-07
411.06,1.3788215946999654e-07
411.08,1.378821594699965e-07
411.11,1.3788215946999646e-07
411.13,1.378821594699964e-07
411.15,1.3788215946999636e-07
411.18,1.378821594699963e-07
411.2,1.3788215946999625e-07
411.23,1.3788215946999625e-07
411.25,1.378821594699962e-07
411.28,1.3788215946999617e-07
411.3,1.3788215946999612e-07
411.33,1.378821594699961e-07
411.35,1.3788215946999604e-07
411.38,1.37882159469996e-07
411.4,1.3788215946999596e-07
411.43,1.3788215946999596e-07
411.45,1.3788215946999588e-07
411.48,1.3788215946999588e-07
411.5,1.3788215946999588e-07
411.52,1.378821594699958e-07
411.55,1.3788215946999572e-07
411.57,1.378821594699957e-07
411.6,1.3788215946999564e-07
411.62,1.378821594699956e-07
411.65,1.378821594699956e-07
411.67,1.3788215946999554e-07
411.7,1.378821594699955e-07
411.72,1.3788215946999546e-07
411.75,1.3788215946999546e-07
411.77,1.3788215946999538e-07
411.8,1.3788215946999533e-07
411.82,1.378821594699953e-07
411.84,1.378821594699953e-07
411.87,1.3788215946999522e-07
411.89,1.3788215946999517e-07
411.92,1.3788215946999517e-07
411.94,1.3788215946999514e-07
411.97,1.3788215946999506e-07
411.99,1.3788215946999506e-07
412.02,1.3788215946999498e-07
412.04,1.3788215946999493e-07
412.07,1.378821594699949e-07
412.09,1.3788215946999485e-07
412.12,1.378821594699948e-07
412.14,1.3788215946999477e-07
412.17,1.3788215946999474e-07
412.19,1.378821594699947e-07
412.21,1.3788215946999466e-07
412.24,1.3788215946999464e-07
412.26,1.378821594699946e-07
412.29,1.3788215946999453e-07
412.31,1.3788215946999448e-07
412.34,1.3788215946999445e-07
412.36,1.3788215946999445e-07
412.39,1.3788215946999437e-07
412.41,1.3788215946999437e-07
412.44,1.3788215946999432e-07
412.46,1.378821594699943e-07
412.49,1.3788215946999421e-07
412.51,1.378821594699942e-07
412.53,1.3788215946999416e-07
412.56,1.378821594699941e-07
412.58,1.3788215946999408e-07
412.61,1.3788215946999408e-07
412.63,1.37882159469994e-07
412.66,1.3788215946999392e-07
412.68,1.378821594699939e-07
412.71,1.3788215946999384e-07
412.73,1.378821594699938e-07
412.76,1.378821594699938e-07
412.78,1.3788215946999376e-07
412.81,1.378821594699937e-07
412.83,1.3788215946999366e-07
412.86,1.3788215946999366e-07
412.88,1.3788215946999358e-07
