Wavelength (nm),Normalized
373.43,8.711218686772502e-06
373.45,8.711209374476116e-06
373.48,8.711203130190237e-06
373.5,8.711199953914864e-06
373.52,8.71119984565e-06
373.55,8.711202805395643e-06
373.58,8.711194831699497e-06
373.6,8.711149293561736e-06
373.62,8.71107571744879e-06
373.65,8.710932721858067e-06
373.68,8.710021403026713e-06
373.7,8.706678933819969e-06
373.73,8.702655747028445e-06
373.75,8.682696654434684e-06
373.77,8.662178938978522e-06
373.8,8.555386459193049e-06
373.83,8.472210922030468e-06
373.85,8.001306688723767e-06
373.88,7.796852818961196e-06
373.9,8.042968571126125e-06
373.93,5.9061850995577176e-06
373.95,2.138466132995801e-07
373.98,4.589742864213646e-06
374.0,2.4165229074649145e-05
374.02,3.2934499644768085e-05
374.05,4.3725108802846384e-05
374.08,0.0001985661013657
374.1,0.0003994120090304
374.12,0.0009978336831505
374.15,0.0021003036316941
374.18,0.0034718252731735
374.2,0.0055342741317771
374.23,0.009498912384922
374.25,0.0148316885269459
374.27,0.0230875545301417
374.3,0.0334793234715187
374.33,0.0475491378608768
374.35,0.0639868233325384
374.38,0.0836377862575358
374.4,0.1049287498925181
374.43,0.1260581671383741
374.45,0.1464760561054102
374.48,0.1646445492349934
374.5,0.1781656485330189
374.52,0.1877248458228953
374.55,0.1909313058489144
374.58,0.1875401537253966
374.6,0.1779375458997834
374.62,0.1630598673599806
374.65,0.1439274630164217
374.68,0.1229383308632118
374.7,0.1016303384589837
374.73,0.080553467693431
374.75,0.0616566641665532
374.77,0.0460341594938142
374.8,0.0332759332723544
374.83,0.0226206327809621
374.85,0.0150858453744482
374.88,0.0090141528519668
374.9,0.0050438218990219
374.93,0.0030340675111844
374.95,0.0017736275110371
374.98,0.0008406263743917
375.0,0.000470060682736
375.02,0.0001828672730783
375.05,0.0001066045989276
375.08,3.2913455400966545e-05
375.1,2.4076610017713424e-05
375.12,4.424837683545049e-06
375.15,0.0
375.18,5.670741744729045e-06
375.2,7.813273165870249e-06
375.23,7.600250054380005e-06
375.25,7.865169847676554e-06
375.27,8.423820364164968e-06
375.3,8.622097510008485e-06
375.33,8.658557486859377e-06
375.35,8.696890562576138e-06
375.38,8.702579901718971e-06
375.4,8.706605937820206e-06
375.43,8.70995994633663e-06
375.45,8.710891494477637e-06
375.48,8.711063409377985e-06
375.5,8.711174594800526e-06
375.52,8.71119415863887e-06
375.55,8.71120549764038e-06
375.58,8.711207375849603e-06
375.6,8.711208356725296e-06
375.62,8.711208496679525e-06
375.65,8.711208551877285e-06
375.68,8.711208577830826e-06
375.7,8.71120858187809e-06
397.8,8.711208577495646e-06
397.83,8.711208567397675e-06
397.85,8.711208501478945e-06
397.88,8.711208375706293e-06
397.9,8.711208086985577e-06
397.93,8.711206156380641e-06
397.95,8.711197964174286e-06
397.98,8.711185315846392e-06
398.0,8.711161338457107e-06
398.02,8.711007928259484e-06
398.05,8.710441409430569e-06
398.08,8.709748623472767e-06
398.1,8.706255601392818e-06
398.12,8.702493429756012e-06
398.15,8.697948682095598e-06
398.18,8.661712576416237e-06
398.2,8.55098612774353e-06
398.23,8.483087230492311e-06
398.25,8.092253643531202e-06
398.27,8.007426266026979e-06
398.3,6.797890424982554e-06
398.33,7.361229677326244e-06
398.35,4.817309377332818e-06
398.38,1.0676933145273751e-05
398.4,2.919883341949708e-05
398.43,3.879653802509901e-05
398.45,4.942371243574636e-05
398.48,0.0001767986380388
398.5,0.000460978281119
398.52,0.0007882782013085
398.55,0.0013022639761088
398.58,0.0026335975248474
398.6,0.0044666971772176
398.62,0.0079506973331343
398.65,0.0132604224806819
398.68,0.0197515801573548
398.7,0.0284260727021199
398.73,0.0413686121654938
398.75,0.0572223075391242
398.77,0.0775741730277169
398.8,0.100869568820195
398.83,0.1279701249887195
398.85,0.1563494864778365
398.88,0.1856916541854738
398.9,0.2129756691976409
398.93,0.2360289328610158
398.95,0.2541892371849941
398.98,0.265504785286661
399.0,0.2679092356649413
399.02,0.2642735046366697
399.05,0.252650136372505
399.08,0.233971668108322
399.1,0.2101232023584944
399.12,0.1825057155036213
399.15,0.1532918061970247
399.18,0.1255024333526953
399.2,0.0997146512489772
399.23,0.0757389432992863
399.25,0.0557745661722995
399.27,0.0406373912890987
399.3,0.0287922603031221
399.33,0.0190932297848126
399.35,0.0125879143538709
399.38,0.0073509511838368
399.4,0.0040266327372159
399.43,0.0024401345259237
399.45,0.0014439453094406
399.48,0.0006884820166839
399.5,0.00039561503746
399.52,0.0001607236179951
399.55,9.757467078226107e-05
399.58,3.476310926649872e-05
399.6,2.531066223309088e-05
399.62,7.407806064506215e-06
399.65,2.641012935648505e-06
399.68,6.751550408169731e-06
399.7,8.228968973377652e-06
399.73,7.849266165071026e-06
399.75,7.991021576508887e-06
399.77,8.461790485363252e-06
399.8,8.632636893911468e-06
399.83,8.660835908539858e-06
399.85,8.6971164310901e-06
399.88,8.701805321461222e-06
399.9,8.705811361648561e-06
399.93,8.709647978118869e-06
399.95,8.71078408735072e-06
399.98,8.710998533063944e-06
400.0,8.711155344082894e-06
400.02,8.711184084651282e-06
400.05,8.711202858527744e-06
400.08,8.7112061488526e-06
400.1,8.711208079853766e-06
400.12,8.711208369799681e-06
400.15,8.71120849749184e-06
400.18,8.711208566040894e-06
400.2,8.711208577515113e-06
428.38,8.71120857437299e-06
428.4,8.711208563188853e-06
428.43,8.711208482355269e-06
428.45,8.711208127602787e-06
428.48,8.711207554950737e-06
428.5,8.711206411371505e-06
428.52,8.71119897172373e-06
428.55,8.711170079798662e-06
428.58,8.711131314835586e-06
428.6,8.710929242544789e-06
428.62,8.710679379159495e-06
428.65,8.710308524851806e-06
428.68,8.707673161495879e-06
428.7,8.699011038410336e-06
428.73,8.691431940912991e-06
428.75,8.651819302949803e-06
428.77,8.625252039589169e-06
428.8,8.454513845021756e-06
428.83,8.3900139234592e-06
428.85,7.765993340556802e-06
428.88,7.808427997584284e-06
428.9,8.902215000367894e-06
428.93,6.926976566279528e-06
428.95,8.123012991588842e-07
428.98,1.0620442423157556e-05
429.0,4.353846224463609e-05
429.02,6.22603499239839e-05
429.05,8.178389700697552e-05
429.08,0.0003004225697484
429.1,0.0005603670677317
429.12,0.0013759504007129
429.15,0.0029040154657352
429.18,0.0047017082025744
429.2,0.0073634198736241
429.23,0.0132046034379459
429.25,0.0210367135501339
429.27,0.0347329763330639
429.3,0.0523835620392445
429.33,0.0797290720216953
429.35,0.1135265912704089
429.38,0.1607958401987783
429.4,0.2199713559598848
429.43,0.2856149132873844
429.45,0.3609546873411954
429.48,0.4499965036988078
429.5,0.5456100832051318
429.52,0.6436124261006857
429.55,0.7383687461865149
429.58,0.8277241050045178
429.6,0.9030948583951957
429.62,0.9611959140666602
429.65,0.9936304904836988
429.68,1.0
429.7,0.9831251408353756
429.73,0.9408087479196888
429.75,0.8775252635637095
429.77,0.792397104323393
429.8,0.6986621157510823
429.83,0.5974294370348541
429.85,0.4982385334028862
429.88,0.4008259818315027
429.9,0.31336381567317
429.93,0.2423793022774694
429.95,0.1832410505148806
429.98,0.1325143398696554
430.0,0.0952733292037686
430.02,0.0650409002024456
430.05,0.0448812269680033
430.08,0.0286970600116481
430.1,0.0187147372701351
430.12,0.0106072573575157
430.15,0.0056941650009269
430.18,0.003544025972192
430.2,0.0021187416647865
430.23,0.0009152409951781
430.25,0.0003213147977466
430.27,0.0002006392010979
430.3,0.0001257542056825
430.33,4.2836604649254766e-05
430.35,3.12429291915339e-05
430.38,6.787080787210859e-06
430.4,7.324985273901126e-08
430.43,5.534879613444801e-06
430.45,7.670564019042628e-06
430.48,7.52538083672114e-06
430.5,8.315606728078595e-06
430.52,8.385239219352166e-06
430.55,8.609815283271192e-06
430.58,8.641333370735455e-06
430.6,8.691775082314408e-06
430.62,8.69698552894797e-06
430.65,8.702577831068974e-06
430.68,8.70871109608013e-06
430.7,8.710556846550598e-06
430.73,8.710825620935354e-06
430.75,8.71100671959083e-06
430.77,8.711154413578344e-06
430.8,8.711195005513009e-06
430.83,8.711202351542137e-06
430.85,8.711207188446978e-06
430.88,8.711207930217325e-06
430.9,8.711208295947598e-06
430.93,8.71120851908009e-06
430.95,8.711208570025275e-06
430.98,8.7112085779477e-06
434.98,8.711208581566327e-06
435.0,8.711208580548104e-06
435.02,8.711208569429031e-06
435.05,8.71120852019561e-06
435.08,8.711208442386337e-06
435.1,8.711208011707182e-06
435.12,8.711207367656697e-06
435.15,8.711206189953165e-06
435.18,8.711198430582578e-06
435.2,8.71117024538375e-06
435.23,8.71113711933482e-06
435.25,8.710967965815398e-06
435.27,8.710789732597672e-06
435.3,8.709826215559846e-06
435.33,8.708985497720048e-06
435.35,8.704153936444807e-06
435.38,8.700996705900056e-06
435.4,8.70045960044347e-06
435.43,8.667401188680233e-06
435.45,8.571222571129178e-06
435.48,8.563205956374079e-06
435.5,8.69111676728199e-06
435.52,8.444509850556884e-06
435.55,7.68210597282022e-06
435.58,8.882408094959292e-06
435.6,8.910195968166949e-06
435.62,1.6115298114614758e-05
435.65,3.34507890391112e-05
435.68,4.8753435018510186e-05
435.7,7.045481665739522e-05
435.73,0.0001642279532245
435.75,0.0002853740016883
435.77,0.0005856826122688
435.8,0.0009769689024501
435.83,0.0017692202563964
435.85,0.002798853541573
435.88,0.004614112647679
435.9,0.0072865161363601
435.93,0.0104768136306418
435.95,0.0146552158197477
435.98,0.0208825351128459
436.0,0.0290000921893748
436.02,0.038373512118359
436.05,0.0493655037383235
436.08,0.0628612966672206
436.1,0.0775416545900376
436.12,0.0938066450577132
436.15,0.1102123152592688
436.18,0.1254338841703545
436.2,0.1393580108285734
436.23,0.1511620261175886
436.25,0.1597555363079366
436.27,0.1633833745115288
436.3,0.1633957070500904
436.33,0.1592491129444426
436.35,0.1513595440551914
436.38,0.1401085197952789
436.4,0.1261566695903734
436.43,0.1111462534715243
436.45,0.0957635426785772
436.48,0.0800644184102626
436.5,0.0653972908348144
436.52,0.0519611873925556
436.55,0.0406093816275175
436.58,0.0304566439217479
436.6,0.0225139129118684
436.62,0.0156494453465232
436.65,0.0105451674655719
436.68,0.0072807800260243
436.7,0.0048669208087643
436.73,0.0028975395017461
436.75,0.0016538084141245
436.77,0.0010534464271815
436.8,0.0006609416821903
436.83,0.0003502864072016
436.85,0.0002108267362945
436.88,8.986982358860106e-05
436.9,3.206411248362517e-05
436.93,2.28755356024115e-05
436.95,1.706533966242239e-05
436.98,9.865431981216732e-06
437.0,9.721806447845722e-06
437.02,8.291514320769612e-06
437.05,8.704424908304136e-06
437.08,8.482035249562e-06
437.1,8.668820238050785e-06
437.12,8.613973464043467e-06
437.15,8.627029611838674e-06
437.18,8.684129398964995e-06
437.2,8.703594421956643e-06
437.23,8.704701492770817e-06
437.25,8.706891983196807e-06
437.27,8.709851659560106e-06
437.3,8.710814383862353e-06
437.33,8.710988925851442e-06
437.35,8.711151498791431e-06
437.38,8.711175147799483e-06
437.4,8.711190959408546e-06
437.43,8.711203838144155e-06
437.45,8.711207374722573e-06
437.48,8.711208018461106e-06
437.5,8.711208448013336e-06
437.52,8.711208523898933e-06
437.55,8.711208570362384e-06
437.58,8.71120857812772e-06
437.6,8.711208581791306e-06
471.43,8.71120858115333e-06
471.45,8.71120857881086e-06
471.48,8.71120856154117e-06
471.5,8.71120853519213e-06
471.53,8.711208387809457e-06
471.55,8.71120784380887e-06
471.57,8.71120716004977e-06
471.6,8.711203593046024e-06
471.62,8.711199408018211e-06
471.65,8.71117668306956e-06
471.68,8.711153079044385e-06
471.7,8.711124987493208e-06
471.73,8.710880914995637e-06
471.75,8.710104590454615e-06
471.78,8.709562753798186e-06
471.8,8.706417541843056e-06
471.82,8.704960782854973e-06
471.85,8.692499556029356e-06
471.88,8.690779599821446e-06
471.9,8.64815330382683e-06
471.93,8.6635853378678e-06
471.95,8.767825439303695e-06
471.98,8.647879025209411e-06
472.0,9.001392920303255e-06
472.03,8.815553798058026e-06
472.05,8.092181645184494e-06
472.07,1.1941150749972902e-05
472.1,1.490087318368824e-05
472.12,3.242049522316928e-05
472.15,5.060205196420014e-05
472.18,0.0001119360165171
472.2,0.0002296347554097
472.23,0.0003594461585005
472.25,0.0005480067858914
472.28,0.0010249878611967
472.3,0.0016554147026071
472.32,0.0028993449853915
472.35,0.0045006213269722
472.38,0.0072745200294504
472.4,0.0107775411035621
472.43,0.0162852182940699
472.45,0.0238303492473261
472.48,0.0325603086175259
472.5,0.0443849241789544
472.53,0.0582223284260082
472.55,0.0748327976959333
472.57,0.096276655210987
472.6,0.1203176762849002
472.62,0.1485662734011406
472.65,0.1782777266434669
472.68,0.2102849066041143
472.7,0.2417617874066123
472.73,0.2703072731231696
472.75,0.2960529766053155
472.78,0.3153666199355757
472.8,0.3293981876697435
472.82,0.3367803465924157
472.85,0.3368015585587417
472.88,0.3294618235687214
472.9,0.3154726797672056
472.93,0.2952424821710463
472.95,0.2698464308221993
472.98,0.2422368367920056
473.0,0.2127224081857397
473.03,0.1833321929078663
473.05,0.155321150082415
473.07,0.1278564091171507
473.1,0.1036826899283145
473.12,0.0811895800324389
473.15,0.0626133041157929
473.18,0.0458935389561192
473.2,0.0326205703339534
473.23,0.0232063563406134
473.25,0.0157045569948473
473.28,0.0109742835711401
473.3,0.007533615811996
473.32,0.0047889600249551
473.35,0.0031838161992814
473.38,0.0019029080328738
473.4,0.0012023929083101
473.43,0.0006214342469177
473.45,0.000297061518885
473.48,0.0001848085034422
473.5,0.0001139361865493
473.53,5.363662600076284e-05
473.55,3.6042838047578393e-05
473.57,1.866434957939644e-05
473.6,1.5399125500432857e-05
473.62,1.0798019533848882e-05
473.65,1.0322619608379516e-05
473.68,8.863051435734522e-06
473.7,8.386097787994955e-06
473.73,8.578841310565396e-06
473.75,8.533262719482406e-06
473.78,8.64883864568657e-06
473.8,8.691658044569983e-06
473.82,8.69346142300174e-06
473.85,8.70589639138625e-06
473.88,8.707217211268277e-06
473.9,8.710116803452401e-06
473.93,8.710303297406792e-06
473.95,8.71061467579278e-06
473.98,8.711022144023152e-06
474.0,8.711153181159916e-06
474.03,8.711176822317823e-06
474.05,8.711199565816436e-06
474.07,8.711203750811445e-06
474.1,8.711207299199618e-06
474.12,8.711207945760378e-06
474.15,8.711208433981633e-06
474.18,8.711208507003831e-06
474.2,8.711208547266828e-06
474.23,8.71120857464315e-06
474.25,8.711208579549466e-06
474.6,8.711208582417196e-06
474.62,8.711208582599608e-06
474.65,8.711208579341367e-06
474.68,8.711208574392683e-06
474.7,8.711208565227477e-06
474.73,8.711208503919781e-06
474.75,8.711208278319323e-06
474.78,8.711208007688548e-06
474.8,8.711206601917965e-06
474.82,8.71120504319644e-06
474.85,8.71119652507067e-06
