Wavelength (nm),Normalized
328.41,4.769721012755967e-06
328.45,4.76971909318315e-06
328.5,4.769717813153956e-06
328.55,4.769717172668389e-06
328.59,4.769717171726446e-06
328.64,4.769717810328129e-06
328.68,4.769713713042999e-06
328.73,4.769703039565932e-06
328.77,4.769652891995942e-06
328.82,4.769460739500591e-06
328.86,4.7690491049854905e-06
328.91,4.767376707050751e-06
328.95,4.764145368723161e-06
329.0,4.7519236408357e-06
329.05,4.731548053918625e-06
329.09,4.660013440496496e-06
329.14,4.561878412111375e-06
329.18,4.23670903363184e-06
329.23,3.913072209602455e-06
329.27,2.8520380143899875e-06
329.32,7.607112273175892e-07
329.36,1.0560082587452844e-06
329.41,3.821036413421707e-07
329.45,1.228315728368337e-05
329.5,3.0952479531901476e-05
329.55,9.816241017742076e-05
329.59,0.0002078856641958
329.64,0.0004603730521656
329.68,0.000853017532523
329.73,0.0015689108090086
329.77,0.002605511690998
329.82,0.0041221152465047
329.86,0.0063428377424625
329.91,0.0091861486110012
329.95,0.0127191403207286
330.0,0.0167412940184908
330.05,0.0210204087391181
330.09,0.0252620007011422
330.14,0.0289580120142843
330.18,0.0318788577274885
330.23,0.0334716224263903
330.27,0.0337766238122804
330.32,0.0327619551328902
330.36,0.0303085570539253
330.41,0.0269388226483456
330.45,0.0228407105058356
330.5,0.0185554064238083
330.55,0.0143812274345676
330.59,0.0106181636178859
330.64,0.0074942169946616
330.68,0.0049973800209319
330.73,0.0032317568673316
330.77,0.0019942830625793
330.82,0.0011223234515453
330.86,0.0006229067796089
330.91,0.0002965944128437
330.95,0.0001451678242097
331.0,5.149543105331399e-05
331.05,2.1193340274672116e-05
331.09,2.425326771692312e-06
331.14,1.3140489392376334e-06
331.18,0.0
331.23,2.3786698269347904e-06
331.27,3.6553084008345074e-06
331.32,4.034729430847873e-06
331.36,4.4733487293030346e-06
331.41,4.6069920342097565e-06
331.45,4.711365114155917e-06
331.5,4.741575747095957e-06
331.55,4.760629991610772e-06
331.59,4.765779104028496e-06
331.64,4.7685559165232725e-06
331.68,4.7692567295410206e-06
331.73,4.769596928061188e-06
331.77,4.76968860817954e-06
331.82,4.769708667903505e-06
331.86,4.769716635826548e-06
331.91,4.769718232343103e-06
331.95,4.7697188046224806e-06
332.0,4.769718909517725e-06
332.05,4.769718943599757e-06
332.09,4.769718949304584e-06
332.14,4.7697189509914705e-06
332.18,4.769718951250544e-06
332.23,4.769718951321536e-06
332.27,4.769718951332887e-06
332.32,4.7697189513344764e-06
332.36,4.7697189513344e-06
332.41,4.769718951334326e-06
332.45,4.7697189513342494e-06
332.5,4.769718951334174e-06
332.55,4.769718951334099e-06
332.59,4.7697189513340224e-06
332.64,4.769718951333947e-06
332.68,4.769718951333872e-06
332.73,4.769718951333796e-06
332.77,4.76971895133372e-06
332.82,4.7697189513336455e-06
332.86,4.769718951333569e-06
332.91,4.769718951333494e-06
332.95,4.7697189513334185e-06
333.0,4.769718951333342e-06
