Wavelength (nm),Normalized
224.65,9.434551559022444e-05
224.68,9.434525850657234e-05
224.7,9.434508553552152e-05
224.72,9.434499667707196e-05
224.75,9.434499193122366e-05
224.78,9.434507129797664e-05
224.8,9.434404036542482e-05
224.82,9.434141543210188e-05
224.85,9.433406626537116e-05
224.88,9.428399483046164e-05
224.9,9.406812648403296e-05
224.93,9.374686410889634e-05
224.95,9.323491182163412e-05
224.97,9.060778816551028e-05
225.0,8.861879157668774e-05
225.03,8.089391317029918e-05
225.05,6.935493894350877e-05
225.07,8.957296142231839e-05
225.1,0.000158564447869
225.12,0.0002689352131788
225.15,0.000486108939834
225.18,0.0008931340692187
225.2,0.0014752050718161
225.22,0.0021959551134622
225.25,0.0029951430304614
225.28,0.0037060312372605
225.3,0.0042465528458944
225.32,0.0044783807336126
225.35,0.0043528058640982
225.38,0.0038948928032824
225.4,0.0032175210796696
225.43,0.0024598500594516
225.45,0.0017164715360481
225.47,0.0010956424402664
225.5,0.0006515707941772
225.53,0.0003509641229228
225.55,0.0001998786799121
225.57,0.0001051220444752
225.6,7.225540538193583e-05
225.62,8.154808003283244e-05
225.65,8.888413335793533e-05
225.68,8.96616371643636e-05
225.7,9.143453686827087e-05
225.72,9.34472351353114e-05
225.75,9.391111690641568e-05
225.78,9.424466622072136e-05
225.8,9.432594031845602e-05
225.82,9.433832544118354e-05
225.85,9.434296922846592e-05
225.88,9.43449065452906e-05
225.9,9.434519646493928e-05
225.93,9.43452265119889e-05
225.95,9.43452341097726e-05
225.97,9.43452361954567e-05
226.0,9.434523638224014e-05
226.85,9.43452363576772e-05
226.88,9.434523582650534e-05
226.9,9.434523032969507e-05
226.93,9.434521102248312e-05
226.95,9.434513704552246e-05
226.97,9.43444462273878e-05
227.0,9.434258616115478e-05
227.03,9.432902623312648e-05
227.05,9.426049541554294e-05
227.07,9.413596658173676e-05
227.1,9.388472013578377e-05
227.12,9.249766627554746e-05
227.15,8.820579372002371e-05
227.18,8.469699863942872e-05
227.2,8.360510381504658e-05
227.22,7.087992266784761e-05
227.25,5.631581532577223e-05
227.28,0.0001227076836594
227.3,0.000254039895441
227.32,0.0006105642103564
227.35,0.0012283546991527
227.38,0.0020928702694006
227.4,0.0032627324531788
227.43,0.0046371685544409
227.45,0.0060179898461201
227.47,0.0072327349385599
227.5,0.0079814462881071
227.53,0.0082217001965118
227.55,0.0078082777414576
227.57,0.0068753583790187
227.6,0.005561605586213
227.62,0.004095385542024
227.65,0.0027581837075878
227.68,0.0016611254501297
227.7,0.0008731109026991
227.72,0.000423842471765
227.75,0.000164672034299
227.78,0.0001021442917758
227.8,8.780408857383144e-05
227.82,7.19032215179906e-05
227.85,7.468577713418588e-05
227.88,8.708477288529738e-05
227.9,9.21371046744112e-05
227.93,9.31186587599404e-05
227.95,9.376197122582012e-05
227.97,9.421080364132048e-05
228.0,9.431874391815876e-05
228.03,9.433617994700192e-05
228.05,9.434387369837375e-05
228.07,9.434483546760378e-05
228.1,9.43451266958422e-05
228.12,9.434522382574631e-05
228.15,9.434523519892272e-05
228.18,9.434523615577624e-05
228.2,9.43452363580125e-05
228.22,9.434523640361932e-05
228.25,9.434523640654032e-05
228.28,9.434523640709323e-05
228.3,9.434523640712548e-05
228.32,9.434523640712698e-05
228.35,9.434523640712724e-05
228.38,9.434523640712728e-05
228.4,9.434523640712732e-05
228.43,9.434523640712736e-05
228.45,9.43452364071274e-05
228.47,9.434523640712748e-05
228.5,9.434523640712752e-05
228.53,9.434523640712756e-05
228.55,9.43452364071276e-05
228.57,9.434523640712764e-05
228.6,9.434523640712768e-05
228.62,9.434523640712774e-05
228.65,9.434523640712778e-05
228.68,9.434523640712783e-05
228.7,9.434523640712787e-05
228.72,9.434523640712792e-05
228.75,9.434523640712796e-05
228.78,9.434523640712802e-05
228.8,9.434523640712806e-05
228.82,9.434523640712716e-05
228.85,9.43452364071205e-05
228.88,9.434523640698435e-05
228.9,9.434523640622847e-05
230.03,9.434523639369744e-05
230.05,9.434523623503156e-05
230.07,9.434523557324992e-05
230.1,9.434523259500868e-05
230.12,9.434519905586308e-05
230.15,9.434492922112718e-05
230.18,9.434415861456742e-05
230.2,9.434172317338838e-05
230.22,9.432298971035548e-05
230.25,9.422772310866753e-05
230.28,9.405361496218212e-05
230.3,9.313984208890042e-05
230.32,9.186372993977156e-05
230.35,9.00130789213671e-05
230.38,8.028632952488901e-05
230.4,5.716588408576955e-05
230.43,5.461699170130236e-05
230.45,9.045253409459894e-05
230.47,0.0001283583115882
230.5,0.0003537001525955
230.53,0.000741773860003
230.55,0.0015068629341931
230.57,0.0029085578838803
230.6,0.0048873097726891
230.62,0.0073117525959239
230.65,0.0099791521463927
230.68,0.0123874583360147
230.7,0.0141287526339051
230.72,0.0149585088001066
230.75,0.0146983446462657
230.78,0.0131905410366879
230.8,0.0109473224598599
230.82,0.008408739667931
230.85,0.0058850160860943
230.88,0.0037332069757681
230.9,0.002138756188294
230.93,0.0010047783795865
230.95,0.0003644833421804
230.97,0.0001575493728476
231.0,9.43294650958034e-05
231.03,5.474491882237837e-05
231.05,7.526581382281309e-05
231.07,7.5744037571919e-05
231.1,8.203161963227926e-05
231.12,9.052939391973212e-05
231.15,9.33709342406152e-05
231.18,9.38899375391169e-05
231.2,9.415704791565934e-05
231.22,9.430763208905536e-05
231.25,9.433209596958734e-05
231.28,9.43431522627947e-05
231.3,9.434496001775413e-05
231.32,9.43451626186885e-05
231.35,9.43452179529694e-05
231.38,9.434523452842316e-05
231.4,9.434523624613708e-05
231.43,9.434523637618432e-05
231.53,9.434523640149992e-05
231.55,9.434523640676102e-05
231.57,9.434523640710776e-05
231.6,9.434523640712562e-05
231.62,9.434523640712848e-05
231.65,9.434523640712853e-05
231.68,9.434523640712857e-05
231.7,9.43452364071286e-05
231.72,9.434523640712863e-05
231.75,9.434523640712867e-05
231.78,9.434523640712871e-05
231.8,9.434523640712876e-05
