Wavelength (nm),Normalized
414.49,1.6108606565134305e-07
414.52,1.6108600193240065e-07
414.54,1.610859595226148e-07
414.57,1.610859384219855e-07
414.59,1.6108593863051256e-07
414.61,1.6108596014819625e-07
414.64,1.610859114878594e-07
414.66,1.6108581146064785e-07
414.69,1.6108515896173953e-07
414.71,1.610841792484006e-07
414.74,1.6107881159947757e-07
414.76,1.610716523631259e-07
414.78,1.6103356342197145e-07
414.81,1.6098904742817597e-07
414.83,1.609279511580629e-07
414.86,1.604763960780534e-07
414.88,1.600606144470723e-07
414.91,1.5768492550314084e-07
414.93,1.5607901451525186e-07
414.95,1.458600553025092e-07
414.98,1.422026971481989e-07
415.0,1.492797669930477e-07
415.03,1.0044057780446505e-07
415.05,1.2891850334087704e-07
415.08,3.286282039965601e-09
415.1,2.558160911440085e-07
415.12,1.7786670552805837e-07
415.15,1.6296370392095128e-06
415.17,5.286909643681444e-06
415.2,8.389592132865444e-06
415.22,1.947890869457549e-05
415.25,3.222495695195925e-05
415.27,6.799484690846599e-05
415.29,0.0001140003232927
415.32,0.0002163539338209
415.34,0.0003872309494803
415.37,0.0005962670982653
415.39,0.0009511500016199
415.42,0.0014006161775666
415.44,0.0020981121848538
415.46,0.0029702568800978
415.49,0.0041953017743168
415.51,0.0057586865166692
415.54,0.0075174700685685
415.56,0.0096462214258977
415.59,0.0119517084901054
415.61,0.0144394249838928
415.63,0.0169955416347832
415.66,0.019439490367893
415.68,0.0217004153982614
415.71,0.0235706606267216
415.73,0.0249851155108487
415.76,0.0258185397204101
415.78,0.0258142374074513
415.8,0.0252626146966952
415.83,0.023921431511729
415.85,0.0220738495441474
415.88,0.0198793621542784
415.9,0.017402864768899
415.93,0.0148665222102619
415.95,0.012357939498624
415.97,0.0099948179881251
416.0,0.0078995750298025
416.02,0.0060146152291286
416.05,0.0045114661776717
416.07,0.0031991035253226
416.1,0.0022028172443864
416.12,0.0015230061261797
416.14,0.0009870695822822
416.17,0.0006578501412007
416.19,0.0004001806798235
416.22,0.0002557645435968
416.24,0.0001371941917381
416.27,6.857873696641353e-05
416.29,4.032355805734534e-05
416.31,1.780791681712609e-05
416.34,1.0810331542297966e-05
416.36,4.281535884934676e-06
416.39,2.818288999056596e-06
416.41,7.522873064637e-07
416.44,0.0
416.46,1.4103796340082742e-07
416.48,2.98833396062735e-08
416.51,1.261340834599829e-07
416.53,1.191139189848522e-07
416.56,1.514467870931987e-07
416.58,1.4958186339563718e-07
416.61,1.524804144389987e-07
416.63,1.583051491235414e-07
416.65,1.5928615073939277e-07
416.68,1.6055218648359928e-07
416.7,1.6078055611318424e-07
416.73,1.6100789285055633e-07
416.75,1.6104002250083157e-07
416.78,1.610618800600499e-07
416.8,1.6107955935263596e-07
416.82,1.6108285829669833e-07
416.85,1.610852213361896e-07
416.87,1.6108564838048848e-07
416.9,1.6108592158529749e-07
416.92,1.610859631765378e-07
416.95,1.6108598282266884e-07
416.97,1.6108599407726282e-07
416.99,1.6108599593241585e-07
417.02,1.6108599691345457e-07
