Wavelength (nm),Normalized
349.85,0.0001007711168326
349.88,0.0001007710845461
349.9,0.0001007710631156
349.93,0.0001007710525412
349.95,0.0001007710528229
349.98,0.0001007710639607
350.0,0.0001007710363649
350.02,0.0001007708503806
350.05,0.0001007700376164
350.08,0.000100768736648
350.1,0.0001007617292491
350.12,0.0001007516340545
350.15,0.0001007344108425
350.18,0.0001006254982929
350.2,0.0001002633629488
350.23,9.991798853723728e-05
350.25,9.825690370075308e-05
350.27,9.714756125783144e-05
350.3,9.068945167839148e-05
350.33,8.93256055500282e-05
350.35,7.13224822231384e-05
350.38,8.417997102765699e-05
350.4,0.0001466158753902
350.43,0.0001599334516365
350.45,0.0001703396732287
350.48,0.0007181621405904
350.5,0.0019986239385865
350.52,0.0035555620931774
350.55,0.0061362826684472
350.58,0.0124009262993067
350.6,0.0212815338431413
350.62,0.0369069764017643
350.65,0.0596012272763269
350.68,0.0873047839665824
350.7,0.1226036726253683
350.73,0.1686984182008228
350.75,0.2213619382698789
350.77,0.278968876410511
350.8,0.337828565325288
350.83,0.3935865171637496
350.85,0.4407755189744536
350.88,0.4747996140797424
350.9,0.4903533561446548
350.93,0.4870944018645446
350.95,0.4668810113443659
350.98,0.4302428412072541
351.0,0.3797994782734789
351.02,0.3245298446448008
351.05,0.2667845868607632
351.08,0.2097598860552756
351.1,0.1587730695295069
351.12,0.1132785270948727
351.15,0.0770656001853095
351.18,0.0518919106478274
351.2,0.0334024159535733
351.23,0.0188481575462273
351.25,0.0098118551020738
351.27,0.0056987236558244
351.3,0.0032593025017809
351.33,0.0014319845710476
351.35,0.0007972189996193
351.38,0.0002191193815596
351.4,9.035412684019086e-06
351.43,5.822107998201351e-05
351.45,8.315801983307296e-05
351.48,7.634720171147854e-05
351.5,9.161170392876936e-05
351.52,9.324907849929309e-05
351.55,9.8276215799252e-05
351.58,9.9144918501694e-05
351.6,0.0001003051300825
351.62,0.0001004684710116
351.65,0.0001006026154294
351.68,0.0001007248703437
351.7,0.0001007597623469
351.73,0.0001007653807501
351.75,0.0001007684440896
351.77,0.0001007704632659
351.8,0.0001007709482947
351.83,0.0001007710297739
351.85,0.0001007710725127
351.88,0.0001007710786419
351.9,0.0001007710810472
351.93,0.0001007710821773
351.95,0.00010077108238
351.98,0.0001007710823984
355.77,0.0001007710823868
355.8,0.0001007710822213
355.83,0.0001007710818368
355.85,0.000100771079182
355.88,0.0001007710735963
355.9,0.0001007710596848
355.93,0.000100770964073
355.95,0.0001007705344218
355.98,0.0001007698207842
356.0,0.0001007683848185
356.02,0.0001007593157286
356.05,0.0001007252374895
356.08,0.0001006820931934
356.1,0.000100468430107
356.12,0.0001002379576575
356.15,9.996717996085466e-05
356.18,9.788341032335012e-05
356.2,9.179779141675888e-05
356.23,8.882777486827239e-05
356.25,7.089527636145902e-05
356.27,7.35145094648928e-05
356.3,3.56481129501203e-05
356.33,0.0001037286398611
356.35,0.0001052503422895
