Unnamed: 0.1,Unnamed: 0,Wavelength (nm),Sum,Intensity,Bi III (3.3e-02),Denoised,Normalized
0,0,201.5,4.042e-09,2.137e-09,1.904e-09,5.505290530047216,0.004971938774214173
1,1,201.53,1.297e-07,7.047e-08,5.925e-08,0.5224969424259065,0.004971934627458618
2,2,201.55,1.188e-06,6.57e-07,5.314e-07,-2.863666650757465,0.00497193180944249
3,3,201.57,1.007e-05,5.664e-06,4.407e-06,-4.653200249502899,0.004971930320165791
4,4,201.6,0.0002147,0.0001238,9.088e-05,-4.846103853810395,0.004971930159628518
5,5,201.62,0.001497,0.0008774,0.0006196,-3.442377463679968,0.004971931327830672
6,6,201.65,0.02382,0.01429,0.009523,-26.33071536971551,0.00497191227981259
7,7,201.68,0.318,0.1952,0.1227,-85.33650075728693,0.004971863174313025
8,8,201.7,1.623,1.012,0.6116,-250.06835821469528,0.004971726081990612
9,9,201.72,7.665,4.846,2.818,-1332.1743053617752,0.004970825537192044
10,10,201.75,67.95,43.88,24.07,-5677.731240504443,0.00496720909953625
11,11,201.78,505.4,333.1,172.3,-11374.104978181838,0.004962468491877928
12,12,201.8,1747.0,1166.0,580.5,-33752.90110769236,0.004943844522103283
13,13,201.82,5585.0,3777.0,1808.0,-47770.958503496564,0.0049321784844966205
14,14,201.85,27580.0,19000.0,8579.0,-38643.96535198121,0.004939774105083336
15,15,201.88,114300.0,80160.0,34130.0,-48371.15333333291,0.004931678993357549
16,16,201.9,267400.0,189700.0,77710.0,29060.21072261197,0.0049961185358352546
17,17,201.93,827100.0,596600.0,230400.0,505375.890442894,0.0053925155882487375
18,18,201.95,1592000.0,1161000.0,431300.0,1474395.7296037376,0.00619894843169223
19,19,201.97,2836000.0,2089000.0,746400.0,2951898.927738942,0.007428548752673122
20,20,202.0,5822000.0,4355000.0,1467000.0,5019584.941724964,0.009149308064526917
21,21,202.03,10030000.0,7610000.0,2418000.0,7522040.093240126,0.011231888773270504
22,22,202.05,13070000.0,10010000.0,3058000.0,10070509.090909135,0.013352762894895866
23,23,202.07,15750000.0,12180000.0,3577000.0,12026044.28904434,0.014980188615768279
24,24,202.1,18010000.0,14100000.0,3906000.0,13010219.114219168,0.015799233665866063
25,25,202.12,17860000.0,14100000.0,3756000.0,12845312.354312409,0.015661995787011253
26,26,202.15,15230000.0,12180000.0,3058000.0,11558219.114219163,0.014590857488868519
27,27,202.18,10900000.0,8814000.0,2087000.0,9502010.955710998,0.012879650220487497
28,28,202.2,7910000.0,6443000.0,1467000.0,7009078.088578119,0.01080499409962142
29,29,202.22,5308000.0,4355000.0,953500.0,4531055.384615405,0.008742746440167173
30,30,202.25,2521000.0,2089000.0,431300.0,2549642.540792553,0.0070937849544423235
31,31,202.28,1004000.0,840500.0,163600.0,1224428.3869463939,0.005990921860139534
32,32,202.3,493000.0,415300.0,77710.0,475389.70769231097,0.005367560637232967
33,33,202.32,223900.0,189700.0,34130.0,32917.44009324119,0.004999328579967956
34,34,202.35,59170.0,50590.0,8579.0,-118101.78993006989,0.004873648111766386
35,35,202.38,13120.0,11310.0,1808.0,-71450.6520652681,0.004912471888368076
36,36,202.4,4357.0,3777.0,580.5,-31071.902151048962,0.004946075689644442
